customer_key,partner_id,customer_ref,channel
C00287,P1,00152,partner
C00288,P1,00153,partner
C00289,P1,00154,partner
C00290,P2,00089,partner
C00291,P1,00155,partner
C00292,P1,00156,partner
C00293,P1,00157,partner
C00294,P1,00158,partner
C00295,P1,00159,partner
C00296,P2,00090,partner
C00297,P1,00160,partner
C00298,P1,00161,partner
C00299,P3,00035,partner
C00300,P1,00162,partner
C00301,P3,00036,partner
C00302,P1,00163,partner
C00303,P1,00164,partner
C00304,DIRECT,00014,direct
C00305,P1,00165,partner
C00306,DIRECT,00015,direct
C00307,P1,00166,partner
C00308,P1,00167,partner
C00309,DIRECT,00016,direct
C00310,P2,00091,partner
C00311,P1,00168,partner
C00312,P2,00092,partner
C00313,P2,00093,partner
C00314,P1,00169,partner
C00315,DIRECT,00017,direct
C00316,P1,00170,partner
C00317,P1,00171,partner
C00318,P2,00094,partner
C00319,P2,00095,partner
C00320,P1,00172,partner
C00321,P2,00096,partner
C00322,P1,00173,partner
C00323,P1,00174,partner
C00324,P2,00097,partner
C00325,P2,00098,partner
C00326,P1,00175,partner
C00327,P1,00176,partner
C00328,P1,00177,partner
C00329,P1,00178,partner
C00330,P3,00037,partner
C00331,P3,00038,partner
C00332,P1,00179,partner
C00333,P1,00180,partner
C00334,P1,00181,partner
C00335,P1,00182,partner
C00336,P2,00099,partner
C00337,P2,00100,partner
C00338,P2,00101,partner
C00339,P3,00039,partner
C00340,P2,00102,partner
C00341,P3,00040,partner
C00342,P1,00183,partner
C00343,P1,00184,partner
C00344,P1,00185,partner
C00345,P1,00186,partner
C00346,P2,00103,partner
C00347,DIRECT,00018,direct
C00348,P1,00187,partner
C00349,P1,00188,partner
C00350,P1,00189,partner
C00351,P3,00041,partner
C00352,P2,00104,partner
C00353,P1,00190,partner
C00354,P2,00105,partner
C00355,P3,00042,partner
C00356,P2,00106,partner
C00357,P1,00191,partner
C00358,P2,00107,partner
C00359,P1,00192,partner
C00360,DIRECT,00019,direct
C00361,P1,00193,partner
C00362,P1,00194,partner
C00363,P2,00108,partner
C00364,P1,00195,partner
C00365,P1,00196,partner
C00366,P1,00197,partner
C00367,P1,00198,partner
C00368,P1,00199,partner
C00369,P1,00200,partner
C00370,P1,00201,partner
C00371,P2,00109,partner
C00372,P1,00202,partner
C00373,DIRECT,00020,direct
C00374,P2,00110,partner
C00375,P1,00203,partner
C00376,P2,00111,partner
C00377,P3,00043,partner
C00378,P2,00112,partner
C00379,P1,00204,partner
C00380,P1,00205,partner
C00381,P1,00206,partner
C00382,P2,00113,partner
C00383,P1,00207,partner
C00384,P1,00208,partner
C00385,P2,00114,partner
C00386,P3,00044,partner
C00387,P1,00209,partner
C00388,P2,00115,partner
C00389,P2,00116,partner
C00390,P2,00117,partner
C00391,P1,00210,partner
C00392,P3,00045,partner
C00393,P2,00118,partner
C00394,P2,00119,partner
C00395,P2,00120,partner
C00396,P3,00046,partner
C00397,P1,00211,partner
C00398,P1,00212,partner
C00399,P1,00213,partner
C00400,P1,00214,partner
C00401,P1,00215,partner
C00402,P1,00216,partner
C00403,P1,00217,partner
C00404,P1,00218,partner
C00405,P1,00219,partner
C00406,P1,00220,partner
C00407,P2,00121,partner
C00408,P1,00221,partner
C00409,P1,00222,partner
C00410,P1,00223,partner
C00411,P3,00047,partner
C00412,P1,00224,partner
C00413,P2,00122,partner
C00414,P1,00225,partner
C00415,P3,00048,partner
C00416,P2,00123,partner
C00417,P1,00226,partner
C00418,P1,00227,partner
C00419,P2,00124,partner
C00420,P2,00125,partner
C00421,P3,00049,partner
C00422,P1,00228,partner
C00423,DIRECT,00021,direct
C00424,P1,00229,partner
C00425,P2,00126,partner
C00426,P1,00230,partner
C00427,P2,00127,partner
C00428,P1,00231,partner
C00429,P1,00232,partner
C00430,P1,00233,partner
C00431,P2,00128,partner
C00432,P2,00129,partner
C00433,P3,00050,partner
C00434,P1,00234,partner
C00435,P2,00130,partner
C00436,P1,00235,partner
C00437,P3,00051,partner
C00438,P1,00236,partner
C00439,P1,00237,partner
C00440,P2,00131,partner
C00441,P2,00132,partner
C00442,P2,00133,partner
C00443,P1,00238,partner
C00444,P1,00239,partner
C00445,P1,00240,partner
C00446,P3,00052,partner
C00447,P3,00053,partner
C00448,P1,00241,partner
C00449,P3,00054,partner
C00450,P3,00055,partner
C00451,P1,00242,partner
C00452,P1,00243,partner
C00453,P1,00244,partner
C00454,P2,00134,partner
C00455,P3,00056,partner
C00456,P3,00057,partner
C00457,P3,00058,partner
C00458,P2,00135,partner
C00459,P1,00245,partner
C00460,P1,00246,partner
C00461,P3,00059,partner
C00462,P1,00247,partner
C00463,P1,00248,partner
C00464,DIRECT,00022,direct
C00465,P1,00249,partner
C00466,P1,00250,partner
C00467,DIRECT,00023,direct
C00468,P2,00136,partner
C00469,P1,00251,partner
C00470,P1,00252,partner
C00471,P2,00137,partner
C00472,P1,00253,partner
C00473,P2,00138,partner
C00474,P1,00254,partner
C00475,P1,00255,partner
C00476,P2,00139,partner
C00477,P1,00256,partner
C00478,P1,00257,partner
C00479,P3,00060,partner
C00480,P1,00258,partner
C00481,P3,00061,partner
C00482,P3,00062,partner
C00483,P1,00259,partner
C00484,P1,00260,partner
C00485,P2,00140,partner
C00486,P2,00141,partner
C00487,P3,00063,partner
C00488,P2,00142,partner
C00489,P1,00261,partner
C00490,P1,00262,partner
C00491,DIRECT,00024,direct
C00492,P1,00263,partner
C00493,P1,00264,partner
C00494,DIRECT,00025,direct
C00495,P2,00143,partner
C00496,P3,00064,partner
C00497,P1,00265,partner
C00498,P3,00065,partner
C00499,P3,00066,partner
C00500,P2,00144,partner
C00501,P1,00266,partner
C00502,P1,00267,partner
C00503,P1,00268,partner
C00504,P1,00269,partner
C00505,P2,00145,partner
C00506,P2,00146,partner
C00507,P1,00270,partner
C00508,P2,00147,partner
C00509,P3,00067,partner
C00510,P3,00068,partner
C00511,DIRECT,00026,direct
C00512,P3,00069,partner
C00513,P1,00271,partner
C00514,P2,00148,partner
C00515,P2,00149,partner
C00516,P1,00272,partner
C00517,P2,00150,partner
C00518,P1,00273,partner
C00519,P1,00274,partner
C00520,P3,00070,partner
C00521,P2,00151,partner
C00522,P1,00275,partner
C00523,P2,00152,partner
C00524,P3,00071,partner
C00525,P2,00153,partner
C00526,P2,00154,partner
C00527,P2,00155,partner
C00528,P2,00156,partner
C00529,P2,00157,partner
C00530,P1,00276,partner
C00531,P1,00277,partner
C00532,P1,00278,partner
C00533,P2,00158,partner
C00534,P1,00279,partner
C00535,P1,00280,partner
C00536,P1,00281,partner
C00537,P2,00159,partner
C00538,P3,00072,partner
C00539,P1,00282,partner
C00540,P2,00160,partner
C00541,P2,00161,partner
C00542,P1,00283,partner
C00543,P1,00284,partner
C00544,P2,00162,partner
C00545,DIRECT,00027,direct
C00546,P2,00163,partner
C00547,P1,00285,partner
C00548,P1,00286,partner
C00549,P3,00073,partner
C00550,P1,00287,partner
C00551,P1,00288,partner
C00552,P2,00164,partner
C00553,P1,00289,partner
C00554,P3,00074,partner
C00555,P3,00075,partner
C00556,P2,00165,partner
C00557,DIRECT,00028,direct
C00558,P3,00076,partner
C00559,P2,00166,partner
C00560,P1,00290,partner
C00561,P1,00291,partner
C00562,DIRECT,00029,direct
C00563,P2,00167,partner
C00564,P2,00168,partner
C00565,P2,00169,partner
C00566,P1,00292,partner
C00567,P1,00293,partner
C00568,P1,00294,partner
C00569,P2,00170,partner
C00570,DIRECT,00030,direct
C00571,P2,00171,partner
C00572,P1,00295,partner
C00573,P1,00296,partner
C00574,P1,00297,partner
C00575,P1,00298,partner
C00576,P1,00299,partner
C00577,P1,00300,partner
C00578,P3,00077,partner
C00579,P2,00172,partner
C00580,P2,00173,partner
C00581,P1,00301,partner
C00582,P1,00302,partner
C00583,P1,00303,partner
C00584,P1,00304,partner
C00585,P1,00305,partner
C00586,P1,00306,partner
C00587,P1,00307,partner
C00588,P1,00308,partner
C00589,P2,00174,partner
C00590,P2,00175,partner
C00591,P2,00176,partner
C00592,P2,00177,partner
C00593,DIRECT,00031,direct
C00594,P1,00309,partner
C00595,P1,00310,partner
C00596,P1,00311,partner
C00597,P1,00312,partner
C00598,P2,00178,partner
C00599,P1,00313,partner
C00600,P2,00179,partner
C00601,P1,00314,partner
C00602,P2,00180,partner
C00603,P1,00315,partner
C00604,P2,00181,partner
C00605,P1,00316,partner
C00606,P3,00078,partner
C00607,P2,00182,partner
C00608,P1,00317,partner
C00609,P2,00183,partner
C00610,P2,00184,partner
C00611,P2,00185,partner
C00612,P2,00186,partner
C00613,P1,00318,partner
C00614,DIRECT,00032,direct
C00615,P2,00187,partner
C00616,P3,00079,partner
C00617,P1,00319,partner
C00618,P2,00188,partner
C00619,P1,00320,partner
C00620,P3,00080,partner
C00621,P1,00321,partner
C00622,P1,00322,partner
C00623,P2,00189,partner
C00624,P2,00190,partner
C00625,P1,00323,partner
C00626,P2,00191,partner
C00627,P1,00324,partner
C00628,P1,00325,partner
C00629,P3,00081,partner
C00630,P1,00326,partner
C00631,P2,00192,partner
C00632,P1,00327,partner
C00633,P3,00082,partner
C00634,P2,00193,partner
C00635,P3,00083,partner
C00636,P1,00328,partner
C00637,P2,00194,partner
C00638,P2,00195,partner
C00639,P2,00196,partner
C00640,P3,00084,partner
C00641,P2,00197,partner
C00642,DIRECT,00033,direct
C00643,P2,00198,partner
C00644,P1,00329,partner
C00645,P1,00330,partner
C00646,P1,00331,partner
C00647,DIRECT,00034,direct
C00648,P1,00332,partner
C00649,P1,00333,partner
C00650,P1,00334,partner
C00651,P2,00199,partner
C00652,P2,00200,partner
C00653,P1,00335,partner
C00654,P1,00336,partner
C00655,DIRECT,00035,direct
C00656,P2,00201,partner
C00657,P2,00202,partner
C00658,P3,00085,partner
C00659,P2,00203,partner
C00660,P2,00204,partner
C00661,P2,00205,partner
C00662,P1,00337,partner
C00663,P2,00206,partner
C00664,P1,00338,partner
C00665,P2,00207,partner
C00666,P2,00208,partner
C00667,P2,00209,partner
C00668,P1,00339,partner
C00669,P1,00340,partner
C00670,P1,00341,partner
C00671,P2,00210,partner
C00672,P1,00342,partner
C00673,P2,00211,partner
C00674,P1,00343,partner
C00675,P2,00212,partner
C00676,P1,00344,partner
C00677,P2,00213,partner
C00678,P1,00345,partner
C00679,P1,00346,partner
C00680,P1,00347,partner
C00681,P2,00214,partner
C00682,P2,00215,partner
C00683,P1,00348,partner
C00684,P2,00216,partner
C00685,P2,00217,partner
C00686,P1,00349,partner
C00687,P1,00350,partner
C00688,P2,00218,partner
C00689,P1,00351,partner
C00690,P1,00352,partner
C00691,P1,00353,partner
C00692,P2,00219,partner
C00693,P2,00220,partner
C00694,P1,00354,partner
C00695,P3,00086,partner
C00696,DIRECT,00036,direct
C00697,P3,00087,partner
C00698,P2,00221,partner
C00699,P1,00355,partner
C00700,P1,00356,partner
C00701,P1,00357,partner
C00702,P1,00358,partner
C00703,P2,00222,partner
C00704,P3,00088,partner
C00705,P2,00223,partner
C00706,P3,00089,partner
C00707,DIRECT,00037,direct
C00708,P3,00090,partner
C00709,P3,00091,partner
C00710,P1,00359,partner
C00711,P1,00360,partner
C00712,P2,00224,partner
C00713,P1,00361,partner
C00714,P2,00225,partner
C00715,P2,00226,partner
C00716,P1,00362,partner
C00717,P1,00363,partner
C00718,P3,00092,partner
C00719,P1,00364,partner
C00720,P1,00365,partner
C00721,P1,00366,partner
C00722,P2,00227,partner
C00723,P1,00367,partner
C00724,P1,00368,partner
C00725,P1,00369,partner
C00726,P2,00228,partner
C00727,P2,00229,partner
C00728,P3,00093,partner
C00729,P2,00230,partner
C00730,P2,00231,partner
C00731,P2,00232,partner
C00732,P3,00094,partner
C00733,DIRECT,00038,direct
C00734,P3,00095,partner
C00735,P1,00370,partner
C00736,P2,00233,partner
C00737,P2,00234,partner
C00738,P1,00371,partner
C00739,P1,00372,partner
C00740,P1,00373,partner
C00741,P3,00096,partner
C00742,P2,00235,partner
C00743,P3,00097,partner
C00744,P2,00236,partner
C00745,P1,00374,partner
C00746,P2,00237,partner
C00747,P1,00375,partner
C00748,P3,00098,partner
C00749,P2,00238,partner
C00750,P1,00376,partner
C00751,DIRECT,00039,direct
C00752,P1,00377,partner
C00753,P2,00239,partner
C00754,P2,00240,partner
C00755,P1,00378,partner
C00756,P1,00379,partner
C00757,P1,00380,partner
C00758,P1,00381,partner
C00759,P3,00099,partner
C00760,P2,00241,partner
C00761,P1,00382,partner
C00762,P1,00383,partner
C00763,P1,00384,partner
C00764,P1,00385,partner
C00765,P1,00386,partner
C00766,P1,00387,partner
C00767,P2,00242,partner
C00768,P2,00243,partner
C00769,P1,00388,partner
C00770,P3,00100,partner
C00771,P1,00389,partner
C00772,P2,00244,partner
C00773,P2,00245,partner
C00774,P1,00390,partner
C00775,P2,00246,partner
C00776,P2,00247,partner
C00777,P1,00391,partner
C00778,P1,00392,partner
C00779,P1,00393,partner
C00780,P1,00394,partner
C00781,P1,00395,partner
C00782,P3,00101,partner
C00783,P2,00248,partner
C00784,P2,00249,partner
C00785,P1,00396,partner
C00786,P1,00397,partner
C00787,P3,00102,partner
C00788,DIRECT,00040,direct
C00789,P1,00398,partner
C00790,DIRECT,00041,direct
C00791,DIRECT,00042,direct
C00792,P2,00250,partner
C00793,P1,00399,partner
C00794,P1,00400,partner
C00795,P1,00401,partner
C00796,P1,00402,partner
C00797,P1,00403,partner
C00798,P1,00404,partner
C00799,P2,00251,partner
C00800,P1,00405,partner
C00801,P2,00252,partner
C00802,P2,00253,partner
C00803,P1,00406,partner
C00804,P1,00407,partner
C00805,P1,00408,partner
C00806,P1,00409,partner
C00807,P1,00410,partner
C00808,P2,00254,partner
C00809,P2,00255,partner
C00810,P2,00256,partner
C00811,P3,00103,partner
C00812,P2,00257,partner
C00813,P1,00411,partner
C00814,P1,00412,partner
C00815,P1,00413,partner
C00816,P1,00414,partner
C00817,P1,00415,partner
C00818,P1,00416,partner
C00819,P1,00417,partner
C00820,P1,00418,partner
C00821,P3,00104,partner
C00822,P1,00419,partner
C00823,P1,00420,partner
C00824,P1,00421,partner
C00825,P1,00422,partner
C00826,P1,00423,partner
C00827,P2,00258,partner
C00828,P2,00259,partner
C00829,P1,00424,partner
C00830,P2,00260,partner
C00831,P1,00425,partner
C00832,P2,00261,partner
C00833,P3,00105,partner
C00834,P1,00426,partner
C00835,P1,00427,partner
C00836,P1,00428,partner
C00837,P1,00429,partner
C00838,P3,00106,partner
C00839,P2,00262,partner
C00840,P2,00263,partner
C00841,P1,00430,partner
C00842,P2,00264,partner
C00843,P2,00265,partner
C00844,P1,00431,partner
C00845,P2,00266,partner
C00846,P2,00267,partner
C00847,P3,00107,partner
C00848,P1,00432,partner
C00849,P2,00268,partner
C00850,P1,00433,partner
C00851,P3,00108,partner
C00852,P1,00434,partner
C00853,P1,00435,partner
C00854,P1,00436,partner
C00855,P1,00437,partner
C00856,P2,00269,partner
C00857,P2,00270,partner
C00858,P1,00438,partner
C00859,P2,00271,partner
C00860,P2,00272,partner
C00861,P2,00273,partner
C00862,P1,00439,partner
C00863,P1,00440,partner
C00864,P2,00274,partner
C00865,P2,00275,partner
C00866,P1,00441,partner
C00867,P1,00442,partner
C00868,P2,00276,partner
C00869,P1,00443,partner
C00870,P1,00444,partner
C00871,P1,00445,partner
C00872,P1,00446,partner
C00873,P2,00277,partner
C00874,DIRECT,00043,direct
C00875,P3,00109,partner
C00876,P1,00447,partner
C00877,P1,00448,partner
C00878,P1,00449,partner
C00879,P1,00450,partner
C00880,P1,00451,partner
C00881,P3,00110,partner
C00882,P1,00452,partner
C00883,P2,00278,partner
C00884,P1,00453,partner
C00885,P3,00111,partner
C00886,P1,00454,partner
C00887,P1,00455,partner
C00888,P3,00112,partner
C00889,P3,00113,partner
C00890,P1,00456,partner
C00891,DIRECT,00044,direct
C00892,P3,00114,partner
C00893,P1,00457,partner
C00894,P1,00458,partner
C00895,P3,00115,partner
C00896,P2,00279,partner
C00897,P1,00459,partner
C00898,P3,00116,partner
C00899,P1,00460,partner
C00900,P1,00461,partner
C00901,P1,00462,partner
C00902,P1,00463,partner
C00903,P2,00280,partner
C00904,P1,00464,partner
C00905,P3,00117,partner
C00906,P2,00281,partner
C00907,P1,00465,partner
C00908,P2,00282,partner
C00909,P1,00466,partner
C00910,P1,00467,partner
C00911,P1,00468,partner
C00912,P1,00469,partner
C00913,P1,00470,partner
C00914,P1,00471,partner
C00915,P1,00472,partner
C00916,P2,00283,partner
C00917,P1,00473,partner
C00918,P1,00474,partner
C00919,P1,00475,partner
C00920,P2,00284,partner
C00921,P2,00285,partner
C00922,P1,00476,partner
C00923,P2,00286,partner
C00924,P3,00118,partner
C00925,P1,00477,partner
C00926,P3,00119,partner
C00927,P2,00287,partner
C00928,P2,00288,partner
C00929,P1,00478,partner
C00930,P2,00289,partner
C00931,DIRECT,00045,direct
C00932,P1,00479,partner
C00933,P1,00480,partner
C00934,P1,00481,partner
C00935,P2,00290,partner
C00936,P1,00482,partner
C00937,P1,00483,partner
C00938,P2,00291,partner
C00939,P1,00484,partner
C00940,P3,00120,partner
C00941,P1,00485,partner
C00942,P2,00292,partner
C00943,P1,00486,partner
C00944,P1,00487,partner
C00945,P2,00293,partner
C00946,P2,00294,partner
C00947,P1,00488,partner
C00948,P2,00295,partner
C00949,P2,00296,partner
C00950,P2,00297,partner
C00951,P2,00298,partner
C00952,P1,00489,partner
C00953,P3,00121,partner
C00954,P1,00490,partner
C00955,P1,00491,partner
C00956,P2,00299,partner
C00957,P1,00492,partner
C00958,P1,00493,partner
C00959,P1,00494,partner
C00960,P2,00300,partner
C00961,P3,00122,partner
C00962,P1,00495,partner
C00963,P1,00496,partner
C00964,P1,00497,partner
C00965,P1,00498,partner
C00966,P2,00301,partner
C00967,P1,00499,partner
C00968,P2,00302,partner
C00969,P2,00303,partner
C00970,P1,00500,partner
C00971,P3,00123,partner
C00972,P1,00501,partner
C00973,P1,00502,partner
C00974,P2,00304,partner
C00975,P2,00305,partner
C00976,P3,00124,partner
C00977,P1,00503,partner
C00978,P1,00504,partner
C00979,DIRECT,00046,direct
C00980,P1,00505,partner
C00981,P2,00306,partner
C00982,P2,00307,partner
C00983,P1,00506,partner
C00984,P1,00507,partner
C00985,P2,00308,partner
C00986,P2,00309,partner
C00987,P1,00508,partner
C00988,P1,00509,partner
C00989,P1,00510,partner
C00990,P2,00310,partner
C00991,P3,00125,partner
C00992,P1,00511,partner
C00993,P1,00512,partner
C00994,P1,00513,partner
C00995,P1,00514,partner
C00996,P1,00515,partner
C00997,DIRECT,00047,direct
C00998,P1,00516,partner
C00999,P3,00126,partner
C01000,P2,00311,partner
C01001,P3,00127,partner
C01002,P2,00312,partner
C01003,P1,00517,partner
C01004,P2,00313,partner
C01005,P3,00128,partner
C01006,P1,00518,partner
C01007,P1,00519,partner
C01008,P1,00520,partner
C01009,P2,00314,partner
C01010,P1,00521,partner
C01011,P1,00522,partner
C01012,P1,00523,partner
C01013,P1,00524,partner
C01014,P2,00315,partner
C01015,P1,00525,partner
C01016,P1,00526,partner
C01017,P1,00527,partner
C01018,P2,00316,partner
C01019,P1,00528,partner
C01020,P3,00129,partner
C01021,P1,00529,partner
C01022,P1,00530,partner
C01023,P1,00531,partner
C01024,P3,00130,partner
C01025,P2,00317,partner
C01026,P1,00532,partner
C01027,DIRECT,00048,direct
C01028,P2,00318,partner
C01029,P1,00533,partner
C01030,P1,00534,partner
C01031,P1,00535,partner
C01032,P3,00131,partner
C01033,P1,00536,partner
C01034,P2,00319,partner
C01035,P2,00320,partner
C01036,P1,00537,partner
C01037,P2,00321,partner
C01038,P1,00538,partner
C01039,P1,00539,partner
C01040,P1,00540,partner
C01041,DIRECT,00049,direct
C01042,P2,00322,partner
C01043,P1,00541,partner
C01044,P3,00132,partner
C01045,P1,00542,partner
C01046,P1,00543,partner
C01047,P1,00544,partner
C01048,P1,00545,partner
C01049,P1,00546,partner
C01050,P2,00323,partner
C01051,P1,00547,partner
C01052,P3,00133,partner
C01053,P1,00548,partner
C01054,DIRECT,00050,direct
C01055,P1,00549,partner
C01056,P3,00134,partner
C01057,P1,00550,partner
C01058,P2,00324,partner
C01059,P2,00325,partner
C01060,P2,00326,partner
C01061,P2,00327,partner
C01062,P1,00551,partner
