transaction_id,received_date,subscription_key,transaction_type,requested_quantity,term_type,source
53,2024-07-10,S03790,NEW,11,annual,partner_api_order
54,2024-07-11,S00915,NEW,5,annual,partner_api_order
55,2024-07-11,S01749,NEW,8,monthly,partner_api_order
56,2024-07-11,S02226,NEW,17,monthly,partner_api_order
57,2024-07-11,S02750,NEW,510,monthly,contract_record
58,2024-07-12,S00401,NEW,13,annual,partner_api_order
59,2024-07-12,S01668,NEW,6,annual,partner_api_order
60,2024-07-13,S00259,NEW,17,annual,partner_api_order
61,2024-07-13,S02275,NEW,21,monthly,partner_api_order
62,2024-07-13,S03484,NEW,7,monthly,partner_api_order
63,2024-07-13,S03190,ADD,5,,partner_api_order
64,2024-07-14,S01622,NEW,8,monthly,partner_api_order
65,2024-07-14,S03604,NEW,10,annual,partner_api_order
66,2024-07-15,S00404,NEW,24,monthly,partner_api_order
67,2024-07-15,S03140,NEW,31,annual,partner_api_order
68,2024-07-15,S04207,NEW,27,annual,partner_api_order
69,2024-07-16,S00406,NEW,9,monthly,partner_api_order
70,2024-07-16,S00437,NEW,3,monthly,partner_api_order
71,2024-07-16,S00878,NEW,11,monthly,partner_api_order
72,2024-07-16,S01405,NEW,4,annual,partner_api_order
73,2024-07-16,S01475,NEW,7,annual,partner_api_order
74,2024-07-16,S02075,NEW,7,annual,partner_api_order
75,2024-07-16,S03150,NEW,42,monthly,partner_api_order
76,2024-07-16,S03614,NEW,6,monthly,partner_api_order
77,2024-07-16,S03646,NEW,20,monthly,partner_api_order
78,2024-07-17,S02181,NEW,11,annual,partner_api_order
79,2024-07-17,S02838,NEW,11,monthly,partner_api_order
80,2024-07-17,S03087,NEW,8,annual,partner_api_order
81,2024-07-17,S03219,NEW,14,annual,partner_api_order
82,2024-07-17,S03962,NEW,9,annual,partner_api_order
83,2024-07-17,S04224,NEW,6,monthly,partner_api_order
84,2024-07-17,S04361,NEW,8,annual,partner_api_order
85,2024-07-18,S01596,NEW,22,annual,partner_api_order
86,2024-07-18,S01882,NEW,3,annual,partner_api_order
87,2024-07-18,S02132,NEW,8,annual,partner_api_order
88,2024-07-18,S02483,NEW,8,annual,partner_api_order
89,2024-07-18,S03018,NEW,7,monthly,partner_api_order
90,2024-07-18,S04029,NEW,17,annual,partner_api_order
91,2024-07-18,S02275,REDUCE,13,,partner_api_order
92,2024-07-19,S00378,NEW,3,monthly,partner_api_order
93,2024-07-19,S00644,NEW,2,monthly,partner_api_order
94,2024-07-19,S00681,NEW,80,annual,partner_api_order
95,2024-07-19,S01446,NEW,15,monthly,partner_api_order
96,2024-07-19,S02976,NEW,30,monthly,partner_api_order
97,2024-07-19,S02483,ADD,11,,partner_api_order
98,2024-07-20,S00992,NEW,13,monthly,partner_api_order
99,2024-07-20,S01279,NEW,8,annual,partner_api_order
100,2024-07-20,S01574,NEW,13,monthly,partner_api_order
101,2024-07-20,S01635,NEW,11,annual,partner_api_order
102,2024-07-20,S01641,NEW,6,monthly,partner_api_order
103,2024-07-21,S00182,NEW,5,annual,partner_api_order
104,2024-07-21,S00587,NEW,25,annual,partner_api_order
105,2024-07-21,S03136,NEW,21,annual,partner_api_order
106,2024-07-21,S03489,NEW,22,annual,partner_api_order
107,2024-07-22,S00122,NEW,40,annual,partner_api_order
108,2024-07-22,S00551,NEW,16,monthly,partner_api_order
109,2024-07-22,S01500,NEW,5,annual,partner_api_order
110,2024-07-23,S00192,NEW,41,monthly,partner_api_order
111,2024-07-23,S00747,NEW,13,monthly,partner_api_order
112,2024-07-23,S00861,NEW,43,annual,partner_api_order
113,2024-07-23,S00892,NEW,5,monthly,partner_api_order
114,2024-07-23,S02624,NEW,4,annual,partner_api_order
115,2024-07-23,S02681,NEW,154,annual,contract_record
116,2024-07-24,S00113,NEW,17,monthly,partner_api_order
117,2024-07-24,S00204,NEW,7,monthly,partner_api_order
118,2024-07-24,S00524,NEW,31,annual,partner_api_order
119,2024-07-24,S01936,NEW,5,annual,partner_api_order
120,2024-07-24,S03883,NEW,8,monthly,partner_api_order
121,2024-07-24,S04262,NEW,35,annual,partner_api_order
122,2024-07-25,S00348,NEW,256,annual,contract_record
123,2024-07-25,S01966,NEW,6,annual,partner_api_order
124,2024-07-25,S03231,NEW,13,annual,partner_api_order
125,2024-07-25,S03244,NEW,6,monthly,partner_api_order
126,2024-07-25,S03267,NEW,4,annual,partner_api_order
127,2024-07-25,S03594,NEW,10,annual,partner_api_order
128,2024-07-25,S04175,NEW,10,annual,partner_api_order
129,2024-07-25,S02971,CANCEL,0,,partner_api_order
130,2024-07-26,S01677,NEW,6,annual,partner_api_order
131,2024-07-26,S01689,NEW,30,annual,partner_api_order
132,2024-07-26,S02640,NEW,3,annual,partner_api_order
133,2024-07-26,S03427,NEW,2,annual,partner_api_order
134,2024-07-26,S04108,NEW,8,annual,partner_api_order
135,2024-07-26,S04385,NEW,6,monthly,partner_api_order
136,2024-07-26,S02469,CANCEL,0,,partner_api_order
137,2024-07-26,S02681,ADD,174,,contract_record
138,2024-07-27,S00668,NEW,51,annual,partner_api_order
139,2024-07-27,S00682,NEW,39,annual,partner_api_order
140,2024-07-27,S01353,NEW,21,monthly,partner_api_order
141,2024-07-27,S01814,NEW,5,annual,partner_api_order
142,2024-07-27,S02351,NEW,12,monthly,partner_api_order
143,2024-07-28,S00328,NEW,25,annual,partner_api_order
144,2024-07-28,S00604,NEW,14,annual,partner_api_order
145,2024-07-28,S00793,NEW,10,annual,partner_api_order
146,2024-07-28,S02685,NEW,8,annual,partner_api_order
147,2024-07-28,S03052,NEW,73,annual,contract_record
148,2024-07-28,S04167,NEW,5,annual,partner_api_order
149,2024-07-28,S00182,ADD,6,,partner_api_order
150,2024-07-28,S03594,REDUCE,7,,partner_api_order
151,2024-07-29,S00818,NEW,8,annual,partner_api_order
152,2024-07-29,S01959,NEW,132,annual,contract_record
153,2024-07-29,S03562,NEW,11,monthly,partner_api_order
154,2024-07-29,S02351,ADD,18,,partner_api_order
155,2024-07-29,S03427,ADD,2,,partner_api_order
156,2024-07-29,S04361,REDUCE,3,,partner_api_order
157,2024-07-30,S00142,NEW,8,annual,partner_api_order
158,2024-07-30,S02377,NEW,3,monthly,partner_api_order
159,2024-07-30,S02655,NEW,57,annual,partner_api_order
160,2024-07-31,S00130,NEW,14,monthly,partner_api_order
161,2024-07-31,S01638,NEW,19,monthly,partner_api_order
162,2024-07-31,S01707,NEW,38,monthly,partner_api_order
163,2024-07-31,S02896,NEW,32,annual,partner_api_order
164,2024-07-31,S04198,NEW,3,annual,partner_api_order
165,2024-07-31,S02685,REDUCE,5,,partner_api_order
166,2024-08-01,S03006,NEW,16,monthly,partner_api_order
167,2024-08-01,S03727,NEW,10,annual,partner_api_order
168,2024-08-01,S03959,NEW,31,monthly,partner_api_order
169,2024-08-02,S00092,NEW,1,monthly,partner_api_order
170,2024-08-02,S00150,NEW,5,annual,partner_api_order
171,2024-08-02,S00795,NEW,7,monthly,partner_api_order
172,2024-08-02,S01436,NEW,3,monthly,partner_api_order
173,2024-08-02,S03383,NEW,11,annual,partner_api_order
174,2024-08-03,S01233,NEW,17,annual,partner_api_order
175,2024-08-03,S03981,NEW,10,annual,partner_api_order
176,2024-08-03,S00587,CANCEL,0,,partner_api_order
177,2024-08-03,S01882,CANCEL,0,,partner_api_order
178,2024-08-04,S00073,NEW,8,monthly,partner_api_order
179,2024-08-04,S00110,NEW,2,monthly,partner_api_order
180,2024-08-04,S00285,NEW,9,annual,partner_api_order
181,2024-08-04,S01644,NEW,27,monthly,partner_api_order
182,2024-08-04,S02779,NEW,10,annual,partner_api_order
183,2024-08-04,S02825,NEW,12,annual,partner_api_order
184,2024-08-05,S02288,NEW,7,annual,partner_api_order
185,2024-08-05,S02748,NEW,7,annual,partner_api_order
186,2024-08-05,S02759,NEW,2,monthly,partner_api_order
187,2024-08-05,S03354,NEW,17,monthly,partner_api_order
188,2024-08-05,S04018,NEW,7,monthly,partner_api_order
189,2024-08-05,S00113,CANCEL,0,,partner_api_order
190,2024-08-06,S00080,NEW,3,monthly,partner_api_order
191,2024-08-06,S01204,NEW,72,monthly,partner_api_order
192,2024-08-06,S03031,NEW,3,annual,partner_api_order
193,2024-08-06,S03111,NEW,4,annual,partner_api_order
194,2024-08-06,S03479,NEW,8,annual,partner_api_order
195,2024-08-07,S00051,NEW,7,monthly,partner_api_order
196,2024-08-07,S00414,NEW,2,annual,partner_api_order
197,2024-08-07,S01898,NEW,6,annual,partner_api_order
198,2024-08-07,S04051,NEW,10,monthly,partner_api_order
199,2024-08-07,S04100,NEW,4,monthly,partner_api_order
200,2024-08-07,S01677,CANCEL,0,,partner_api_order
201,2024-08-08,S01088,NEW,4,annual,partner_api_order
202,2024-08-08,S01120,NEW,6,monthly,partner_api_order
203,2024-08-08,S01716,NEW,19,annual,partner_api_order
204,2024-08-08,S03716,NEW,10,annual,partner_api_order
205,2024-08-09,S00171,NEW,14,monthly,partner_api_order
206,2024-08-09,S00527,NEW,5,annual,partner_api_order
207,2024-08-09,S00671,NEW,10,annual,partner_api_order
208,2024-08-09,S01277,NEW,7,annual,partner_api_order
209,2024-08-09,S01535,NEW,18,annual,partner_api_order
210,2024-08-09,S01608,NEW,10,annual,partner_api_order
211,2024-08-09,S03661,NEW,9,monthly,partner_api_order
212,2024-08-09,S03946,NEW,13,annual,partner_api_order
213,2024-08-09,S03427,REDUCE,1,,partner_api_order
214,2024-08-10,S00639,NEW,3,annual,partner_api_order
215,2024-08-10,S03103,NEW,4,annual,partner_api_order
216,2024-08-10,S03364,NEW,6,annual,partner_api_order
217,2024-08-10,S03996,NEW,8,monthly,partner_api_order
218,2024-08-11,S02976,ADD,42,,partner_api_order
219,2024-08-12,S00736,NEW,3,annual,partner_api_order
220,2024-08-12,S01225,NEW,3,monthly,partner_api_order
221,2024-08-12,S01653,NEW,7,monthly,partner_api_order
222,2024-08-12,S02541,NEW,36,annual,partner_api_order
223,2024-08-12,S04028,NEW,3,annual,partner_api_order
224,2024-08-12,S00795,REDUCE,3,,partner_api_order
225,2024-08-12,S03087,ADD,12,,partner_api_order
226,2024-08-13,S01694,NEW,2,monthly,partner_api_order
227,2024-08-13,S02064,NEW,36,monthly,partner_api_order
228,2024-08-13,S03202,NEW,3,monthly,partner_api_order
229,2024-08-13,S04024,NEW,16,monthly,partner_api_order
230,2024-08-14,S01438,NEW,6,monthly,partner_api_order
231,2024-08-14,S01687,NEW,7,monthly,partner_api_order
232,2024-08-14,S02994,NEW,2,monthly,partner_api_order
233,2024-08-14,S02541,ADD,50,,partner_api_order
234,2024-08-15,S00282,NEW,16,monthly,partner_api_order
235,2024-08-15,S00532,NEW,7,annual,partner_api_order
236,2024-08-15,S03793,NEW,19,annual,partner_api_order
237,2024-08-15,S03794,NEW,3,monthly,partner_api_order
238,2024-08-15,S00818,REDUCE,4,,partner_api_order
239,2024-08-15,S00892,ADD,7,,partner_api_order
240,2024-08-16,S00490,NEW,1,monthly,partner_api_order
241,2024-08-16,S00868,NEW,549,annual,contract_record
242,2024-08-16,S00935,NEW,2,monthly,partner_api_order
243,2024-08-16,S00988,NEW,9,annual,partner_api_order
244,2024-08-16,S03544,NEW,12,monthly,partner_api_order
245,2024-08-16,S04385,ADD,9,,partner_api_order
246,2024-08-17,S00485,NEW,13,monthly,partner_api_order
247,2024-08-17,S01840,NEW,5,annual,partner_api_order
248,2024-08-17,S03038,NEW,8,annual,partner_api_order
249,2024-08-17,S03895,NEW,8,annual,partner_api_order
250,2024-08-18,S00956,NEW,22,annual,partner_api_order
251,2024-08-18,S01048,NEW,7,monthly,partner_api_order
252,2024-08-18,S01091,NEW,5,annual,partner_api_order
253,2024-08-18,S03186,NEW,14,monthly,partner_api_order
254,2024-08-18,S03908,NEW,4,monthly,partner_api_order
255,2024-08-19,S00418,NEW,4,annual,partner_api_order
256,2024-08-19,S02645,NEW,6,monthly,partner_api_order
257,2024-08-19,S04144,NEW,16,annual,partner_api_order
258,2024-08-20,S00160,NEW,20,annual,partner_api_order
259,2024-08-20,S02943,NEW,4,annual,partner_api_order
260,2024-08-20,S03294,NEW,7,annual,partner_api_order
261,2024-08-21,S01740,NEW,6,annual,partner_api_order
262,2024-08-21,S01884,NEW,11,annual,partner_api_order
263,2024-08-21,S02348,NEW,10,monthly,partner_api_order
264,2024-08-21,S03048,NEW,105,annual,contract_record
265,2024-08-21,S03174,NEW,16,annual,partner_api_order
266,2024-08-21,S03326,NEW,9,monthly,partner_api_order
267,2024-08-21,S03469,NEW,27,annual,partner_api_order
268,2024-08-22,S00827,NEW,6,annual,partner_api_order
269,2024-08-22,S01824,NEW,6,annual,partner_api_order
270,2024-08-22,S02389,NEW,5,annual,partner_api_order
271,2024-08-22,S03328,NEW,7,annual,partner_api_order
272,2024-08-22,S03583,NEW,14,monthly,partner_api_order
273,2024-08-22,S04153,NEW,11,monthly,partner_api_order
274,2024-08-23,S01452,NEW,10,annual,partner_api_order
275,2024-08-23,S01504,NEW,8,annual,partner_api_order
276,2024-08-23,S02255,NEW,5,annual,partner_api_order
277,2024-08-23,S02344,NEW,6,monthly,partner_api_order
278,2024-08-23,S03328,REDUCE,4,,partner_api_order
279,2024-08-24,S02015,NEW,5,annual,partner_api_order
280,2024-08-24,S02276,NEW,76,annual,partner_api_order
281,2024-08-24,S02283,NEW,16,monthly,partner_api_order
282,2024-08-24,S02883,NEW,3,annual,partner_api_order
283,2024-08-24,S03796,NEW,5,annual,partner_api_order
284,2024-08-24,S03860,NEW,10,annual,partner_api_order
285,2024-08-24,S03965,NEW,39,annual,partner_api_order
286,2024-08-25,S00040,NEW,4,annual,partner_api_order
287,2024-08-25,S02863,NEW,3,monthly,partner_api_order
288,2024-08-25,S03002,NEW,13,monthly,partner_api_order
289,2024-08-25,S00532,ADD,9,,partner_api_order
290,2024-08-25,S03860,REDUCE,7,,partner_api_order
291,2024-08-26,S01051,NEW,31,monthly,partner_api_order
292,2024-08-26,S02369,NEW,14,annual,partner_api_order
293,2024-08-26,S02520,NEW,18,annual,partner_api_order
294,2024-08-26,S03083,NEW,12,monthly,partner_api_order
295,2024-08-27,S00209,NEW,32,monthly,partner_api_order
296,2024-08-27,S00541,NEW,183,annual,contract_record
297,2024-08-27,S00949,NEW,38,monthly,partner_api_order
298,2024-08-27,S01033,NEW,10,monthly,partner_api_order
299,2024-08-27,S02552,NEW,2,annual,partner_api_order
300,2024-08-27,S02781,NEW,8,annual,partner_api_order
301,2024-08-27,S02800,NEW,59,annual,partner_api_order
302,2024-08-27,S02937,NEW,3,annual,partner_api_order
303,2024-08-27,S03336,NEW,7,monthly,partner_api_order
304,2024-08-27,S03363,NEW,387,annual,contract_record
305,2024-08-27,S04353,NEW,5,monthly,partner_api_order
306,2024-08-27,S00040,CANCEL,0,,partner_api_order
307,2024-08-28,S01226,NEW,57,annual,partner_api_order
308,2024-08-28,S01968,NEW,3,monthly,partner_api_order
309,2024-08-28,S02245,NEW,6,monthly,partner_api_order
310,2024-08-28,S02631,NEW,37,monthly,partner_api_order
311,2024-08-28,S04332,NEW,2,annual,partner_api_order
312,2024-08-29,S00898,NEW,17,monthly,partner_api_order
313,2024-08-29,S01835,NEW,24,annual,partner_api_order
314,2024-08-29,S01892,NEW,6,annual,partner_api_order
315,2024-08-29,S04278,NEW,17,monthly,partner_api_order
316,2024-08-29,S00604,REDUCE,10,,partner_api_order
317,2024-08-30,S00913,NEW,42,monthly,partner_api_order
318,2024-08-30,S01962,NEW,19,annual,partner_api_order
319,2024-08-30,S02590,NEW,2,monthly,partner_api_order
320,2024-08-30,S02993,NEW,26,monthly,partner_api_order
321,2024-08-30,S03146,NEW,4,monthly,partner_api_order
322,2024-08-30,S04327,NEW,7,monthly,partner_api_order
323,2024-08-30,S01814,REDUCE,2,,partner_api_order
324,2024-08-30,S02344,REDUCE,3,,partner_api_order
325,2024-08-30,S03796,ADD,8,,partner_api_order
326,2024-08-31,S01980,NEW,19,annual,partner_api_order
327,2024-08-31,S04366,NEW,14,annual,partner_api_order
328,2024-08-31,S00913,ADD,54,,partner_api_order
329,2024-09-01,S00799,NEW,5,annual,partner_api_order
330,2024-09-01,S01633,NEW,57,monthly,partner_api_order
331,2024-09-01,S01943,NEW,40,annual,partner_api_order
332,2024-09-01,S02376,NEW,3,annual,partner_api_order
333,2024-09-01,S02387,NEW,8,annual,partner_api_order
334,2024-09-01,S02974,NEW,3,monthly,partner_api_order
335,2024-09-01,S03444,NEW,9,annual,partner_api_order
336,2024-09-01,S00406,REDUCE,5,,partner_api_order
337,2024-09-02,S03075,NEW,5,annual,partner_api_order
338,2024-09-02,S03438,NEW,17,monthly,partner_api_order
339,2024-09-02,S03816,NEW,3,annual,partner_api_order
340,2024-09-02,S04172,NEW,22,annual,partner_api_order
341,2024-09-03,S00412,NEW,18,monthly,partner_api_order
342,2024-09-03,S01448,NEW,19,annual,partner_api_order
343,2024-09-03,S03133,NEW,2,annual,partner_api_order
344,2024-09-03,S03453,NEW,14,monthly,partner_api_order
345,2024-09-03,S04219,NEW,35,monthly,partner_api_order
346,2024-09-03,S04175,ADD,13,,partner_api_order
347,2024-09-04,S00279,NEW,4,monthly,partner_api_order
348,2024-09-04,S00764,NEW,1,annual,partner_api_order
349,2024-09-04,S00912,NEW,11,monthly,partner_api_order
350,2024-09-04,S01941,NEW,3,monthly,partner_api_order
351,2024-09-04,S01970,NEW,365,annual,contract_record
352,2024-09-04,S03100,NEW,1,monthly,partner_api_order
353,2024-09-04,S04099,NEW,5,monthly,partner_api_order
354,2024-09-04,S04173,NEW,13,annual,partner_api_order
355,2024-09-04,S04390,NEW,22,monthly,partner_api_order
356,2024-09-05,S01461,NEW,8,monthly,partner_api_order
357,2024-09-05,S01549,NEW,8,annual,partner_api_order
358,2024-09-05,S01813,NEW,3,annual,partner_api_order
359,2024-09-05,S03036,NEW,11,annual,partner_api_order
360,2024-09-05,S03399,NEW,8,monthly,partner_api_order
361,2024-09-06,S00359,NEW,7,monthly,partner_api_order
362,2024-09-06,S00513,NEW,184,monthly,contract_record
363,2024-09-06,S00765,NEW,2,monthly,partner_api_order
364,2024-09-06,S01016,NEW,4,monthly,partner_api_order
365,2024-09-06,S01030,NEW,14,annual,partner_api_order
366,2024-09-06,S01352,NEW,5,annual,partner_api_order
367,2024-09-06,S01498,NEW,13,monthly,partner_api_order
368,2024-09-06,S03153,NEW,7,monthly,partner_api_order
369,2024-09-06,S03268,NEW,11,annual,partner_api_order
370,2024-09-06,S03884,NEW,8,monthly,partner_api_order
371,2024-09-06,S00668,ADD,75,,partner_api_order
372,2024-09-06,S03489,REDUCE,19,,partner_api_order
373,2024-09-07,S01176,NEW,5,annual,partner_api_order
374,2024-09-07,S01743,NEW,5,monthly,partner_api_order
375,2024-09-07,S02009,NEW,23,monthly,partner_api_order
376,2024-09-07,S02141,NEW,5,monthly,partner_api_order
377,2024-09-07,S02875,NEW,16,monthly,partner_api_order
378,2024-09-07,S03085,NEW,5,monthly,partner_api_order
379,2024-09-07,S04277,NEW,3,annual,partner_api_order
380,2024-09-07,S01980,ADD,25,,partner_api_order
381,2024-09-08,S03866,NEW,9,monthly,partner_api_order
382,2024-09-09,S01674,NEW,13,monthly,partner_api_order
383,2024-09-09,S01967,NEW,12,annual,partner_api_order
384,2024-09-09,S02745,NEW,5,annual,partner_api_order
385,2024-09-09,S03885,REDUCE,49,,partner_api_order
386,2024-09-09,S04099,ADD,6,,partner_api_order
387,2024-09-10,S00322,NEW,17,monthly,partner_api_order
388,2024-09-10,S00831,NEW,2,annual,partner_api_order
389,2024-09-10,S01031,NEW,9,monthly,partner_api_order
390,2024-09-10,S01044,NEW,7,annual,partner_api_order
391,2024-09-10,S01562,NEW,14,annual,partner_api_order
392,2024-09-10,S02035,NEW,6,monthly,partner_api_order
393,2024-09-10,S02771,NEW,3,annual,partner_api_order
394,2024-09-10,S02866,NEW,4,annual,partner_api_order
395,2024-09-10,S03274,NEW,2,annual,partner_api_order
396,2024-09-10,S04283,NEW,24,monthly,partner_api_order
397,2024-09-11,S00304,NEW,15,annual,partner_api_order
398,2024-09-11,S00396,NEW,19,annual,partner_api_order
399,2024-09-11,S00488,NEW,7,monthly,partner_api_order
400,2024-09-11,S00635,NEW,6,annual,partner_api_order
401,2024-09-11,S00688,NEW,12,monthly,partner_api_order
402,2024-09-11,S01356,NEW,6,annual,partner_api_order
403,2024-09-11,S03000,NEW,8,annual,partner_api_order
404,2024-09-11,S04025,NEW,6,annual,partner_api_order
405,2024-09-11,S04038,NEW,21,annual,partner_api_order
406,2024-09-11,S04240,NEW,63,annual,partner_api_order
407,2024-09-12,S00760,NEW,4,annual,partner_api_order
408,2024-09-12,S01024,NEW,5,monthly,partner_api_order
409,2024-09-12,S01203,NEW,78,annual,partner_api_order
410,2024-09-12,S01731,NEW,11,monthly,partner_api_order
411,2024-09-12,S02491,NEW,5,annual,partner_api_order
412,2024-09-12,S03647,NEW,3,annual,partner_api_order
413,2024-09-12,S04008,NEW,8,monthly,partner_api_order
414,2024-09-13,S00025,NEW,8,monthly,partner_api_order
415,2024-09-13,S02163,NEW,7,monthly,partner_api_order
416,2024-09-13,S02393,NEW,1782,monthly,contract_record
417,2024-09-13,S03369,NEW,9,monthly,partner_api_order
418,2024-09-13,S03736,NEW,5,annual,partner_api_order
419,2024-09-13,S04021,NEW,10,annual,partner_api_order
420,2024-09-13,S04355,NEW,25,annual,partner_api_order
421,2024-09-14,S00345,NEW,42,monthly,partner_api_order
422,2024-09-14,S00384,NEW,4,annual,partner_api_order
423,2024-09-14,S00475,NEW,24,annual,partner_api_order
424,2024-09-14,S03869,NEW,16,monthly,partner_api_order
425,2024-09-14,S03904,NEW,4,monthly,partner_api_order
426,2024-09-14,S04324,NEW,36,annual,partner_api_order
427,2024-09-15,S00174,NEW,3,monthly,partner_api_order
428,2024-09-15,S01342,NEW,4,monthly,partner_api_order
429,2024-09-15,S02343,NEW,38,monthly,partner_api_order
430,2024-09-15,S02458,NEW,16,monthly,partner_api_order
431,2024-09-15,S03063,NEW,4,annual,partner_api_order
432,2024-09-15,S03072,NEW,8,annual,partner_api_order
433,2024-09-16,S00054,NEW,32,annual,partner_api_order
434,2024-09-16,S00175,NEW,9,monthly,partner_api_order
435,2024-09-16,S01885,NEW,1,annual,partner_api_order
436,2024-09-16,S01942,NEW,5,monthly,partner_api_order
437,2024-09-16,S03059,NEW,2,annual,partner_api_order
438,2024-09-16,S03388,NEW,32,annual,partner_api_order
439,2024-09-16,S03422,NEW,35,annual,partner_api_order
440,2024-09-17,S01307,NEW,32,annual,partner_api_order
441,2024-09-17,S01364,NEW,25,monthly,partner_api_order
442,2024-09-17,S02528,NEW,6,monthly,partner_api_order
443,2024-09-17,S02538,NEW,8,monthly,partner_api_order
444,2024-09-17,S03379,NEW,3,annual,partner_api_order
445,2024-09-17,S00935,ADD,3,,partner_api_order
446,2024-09-17,S04025,ADD,7,,partner_api_order
447,2024-09-18,S00107,NEW,4,monthly,partner_api_order
448,2024-09-18,S00895,NEW,80,monthly,partner_api_order
449,2024-09-18,S02083,NEW,538,annual,contract_record
450,2024-09-18,S03408,NEW,7,monthly,partner_api_order
451,2024-09-18,S03435,NEW,21,annual,partner_api_order
452,2024-09-18,S03728,NEW,6,monthly,partner_api_order
453,2024-09-19,S00170,NEW,7,annual,partner_api_order
454,2024-09-19,S01164,NEW,3,monthly,partner_api_order
455,2024-09-19,S03863,NEW,5,annual,partner_api_order
456,2024-09-19,S04097,NEW,20,monthly,partner_api_order
457,2024-09-20,S02573,NEW,91,monthly,contract_record
458,2024-09-20,S03857,NEW,7,annual,partner_api_order
459,2024-09-20,S03469,CANCEL,0,,partner_api_order
460,2024-09-20,S03895,REDUCE,0,,partner_api_order
461,2024-09-21,S00310,NEW,7,annual,partner_api_order
462,2024-09-21,S01180,NEW,2,monthly,partner_api_order
463,2024-09-21,S02572,NEW,6,monthly,partner_api_order
464,2024-09-21,S03227,NEW,20,monthly,partner_api_order
465,2024-09-22,S00903,NEW,7,annual,partner_api_order
466,2024-09-22,S01174,NEW,9,annual,partner_api_order
467,2024-09-22,S01431,NEW,4,annual,partner_api_order
468,2024-09-22,S01637,NEW,8,monthly,partner_api_order
469,2024-09-22,S02090,NEW,6,annual,partner_api_order
470,2024-09-22,S02130,NEW,15,annual,partner_api_order
471,2024-09-22,S02186,NEW,4,monthly,partner_api_order
472,2024-09-22,S02370,NEW,3,annual,partner_api_order
473,2024-09-22,S02457,NEW,6,monthly,partner_api_order
474,2024-09-22,S03395,NEW,15,annual,partner_api_order
475,2024-09-22,S03665,NEW,26,monthly,partner_api_order
476,2024-09-22,S01674,CANCEL,0,,partner_api_order
