transaction_id,received_date,subscription_key,transaction_type,requested_quantity,term_type,source,accepted,rejection_reason
43,2024-07-09,S01630,NEW,4,annual,partner_api_order,true,
44,2024-07-09,S02121,NEW,18,annual,partner_api_order,true,
45,2024-07-09,S02198,NEW,7,annual,partner_api_order,true,
46,2024-07-09,S03233,NEW,17,monthly,partner_api_order,true,
47,2024-07-09,S04386,NEW,15,annual,partner_api_order,true,
48,2024-07-10,S00427,NEW,2,monthly,partner_api_order,true,
49,2024-07-10,S00974,NEW,11,monthly,partner_api_order,true,
50,2024-07-10,S01069,NEW,4,annual,partner_api_order,true,
51,2024-07-10,S01283,NEW,28,annual,partner_api_order,true,
52,2024-07-10,S02517,NEW,9,monthly,partner_api_order,true,
53,2024-07-10,S03790,NEW,11,annual,partner_api_order,true,
54,2024-07-11,S00915,NEW,5,annual,partner_api_order,true,
55,2024-07-11,S01749,NEW,8,monthly,partner_api_order,true,
56,2024-07-11,S02226,NEW,17,monthly,partner_api_order,true,
57,2024-07-11,S02750,NEW,510,monthly,contract_record,true,
58,2024-07-12,S00401,NEW,13,annual,partner_api_order,true,
59,2024-07-12,S01668,NEW,6,annual,partner_api_order,true,
60,2024-07-13,S00259,NEW,17,annual,partner_api_order,true,
61,2024-07-13,S02275,NEW,21,monthly,partner_api_order,true,
62,2024-07-13,S03484,NEW,7,monthly,partner_api_order,true,
63,2024-07-13,S03190,ADD,5,,partner_api_order,true,
64,2024-07-14,S01622,NEW,8,monthly,partner_api_order,true,
65,2024-07-14,S03604,NEW,10,annual,partner_api_order,true,
66,2024-07-15,S00404,NEW,24,monthly,partner_api_order,true,
67,2024-07-15,S03140,NEW,31,annual,partner_api_order,true,
68,2024-07-15,S04207,NEW,27,annual,partner_api_order,true,
69,2024-07-16,S00406,NEW,9,monthly,partner_api_order,true,
70,2024-07-16,S00437,NEW,3,monthly,partner_api_order,true,
71,2024-07-16,S00878,NEW,11,monthly,partner_api_order,true,
72,2024-07-16,S01405,NEW,4,annual,partner_api_order,true,
73,2024-07-16,S01475,NEW,7,annual,partner_api_order,true,
74,2024-07-16,S02075,NEW,7,annual,partner_api_order,true,
75,2024-07-16,S03150,NEW,42,monthly,partner_api_order,true,
76,2024-07-16,S03614,NEW,6,monthly,partner_api_order,true,
77,2024-07-16,S03646,NEW,20,monthly,partner_api_order,true,
78,2024-07-17,S02181,NEW,11,annual,partner_api_order,true,
79,2024-07-17,S02838,NEW,11,monthly,partner_api_order,true,
80,2024-07-17,S03087,NEW,8,annual,partner_api_order,true,
81,2024-07-17,S03219,NEW,14,annual,partner_api_order,true,
82,2024-07-17,S03962,NEW,9,annual,partner_api_order,true,
83,2024-07-17,S04224,NEW,6,monthly,partner_api_order,true,
84,2024-07-17,S04361,NEW,8,annual,partner_api_order,true,
85,2024-07-18,S01596,NEW,22,annual,partner_api_order,true,
86,2024-07-18,S01882,NEW,3,annual,partner_api_order,true,
87,2024-07-18,S02132,NEW,8,annual,partner_api_order,true,
88,2024-07-18,S02483,NEW,8,annual,partner_api_order,true,
89,2024-07-18,S03018,NEW,7,monthly,partner_api_order,true,
90,2024-07-18,S04029,NEW,17,annual,partner_api_order,true,
91,2024-07-18,S02275,REDUCE,13,,partner_api_order,true,
92,2024-07-19,S00378,NEW,3,monthly,partner_api_order,true,
93,2024-07-19,S00644,NEW,2,monthly,partner_api_order,true,
94,2024-07-19,S00681,NEW,80,annual,partner_api_order,true,
95,2024-07-19,S01446,NEW,15,monthly,partner_api_order,true,
96,2024-07-19,S02976,NEW,30,monthly,partner_api_order,true,
97,2024-07-19,S02483,ADD,11,,partner_api_order,true,
98,2024-07-20,S00992,NEW,13,monthly,partner_api_order,true,
99,2024-07-20,S01279,NEW,8,annual,partner_api_order,true,
100,2024-07-20,S01574,NEW,13,monthly,partner_api_order,true,
101,2024-07-20,S01635,NEW,11,annual,partner_api_order,true,
102,2024-07-20,S01641,NEW,6,monthly,partner_api_order,true,
103,2024-07-21,S00182,NEW,5,annual,partner_api_order,true,
104,2024-07-21,S00587,NEW,25,annual,partner_api_order,true,
105,2024-07-21,S03136,NEW,21,annual,partner_api_order,true,
106,2024-07-21,S03489,NEW,22,annual,partner_api_order,true,
107,2024-07-22,S00122,NEW,40,annual,partner_api_order,true,
108,2024-07-22,S00551,NEW,16,monthly,partner_api_order,true,
109,2024-07-22,S01500,NEW,5,annual,partner_api_order,true,
110,2024-07-23,S00192,NEW,41,monthly,partner_api_order,true,
111,2024-07-23,S00747,NEW,13,monthly,partner_api_order,true,
112,2024-07-23,S00861,NEW,43,annual,partner_api_order,true,
113,2024-07-23,S00892,NEW,5,monthly,partner_api_order,true,
114,2024-07-23,S02624,NEW,4,annual,partner_api_order,true,
115,2024-07-23,S02681,NEW,154,annual,contract_record,true,
116,2024-07-24,S00113,NEW,17,monthly,partner_api_order,true,
117,2024-07-24,S00204,NEW,7,monthly,partner_api_order,true,
118,2024-07-24,S00524,NEW,31,annual,partner_api_order,true,
119,2024-07-24,S01936,NEW,5,annual,partner_api_order,true,
120,2024-07-24,S03883,NEW,8,monthly,partner_api_order,true,
121,2024-07-24,S04262,NEW,35,annual,partner_api_order,true,
122,2024-07-25,S00348,NEW,256,annual,contract_record,true,
123,2024-07-25,S01966,NEW,6,annual,partner_api_order,true,
124,2024-07-25,S03231,NEW,13,annual,partner_api_order,true,
125,2024-07-25,S03244,NEW,6,monthly,partner_api_order,true,
126,2024-07-25,S03267,NEW,4,annual,partner_api_order,true,
127,2024-07-25,S03594,NEW,10,annual,partner_api_order,true,
128,2024-07-25,S04175,NEW,10,annual,partner_api_order,true,
129,2024-07-25,S02971,CANCEL,0,,partner_api_order,true,
130,2024-07-26,S01677,NEW,6,annual,partner_api_order,true,
131,2024-07-26,S01689,NEW,30,annual,partner_api_order,true,
132,2024-07-26,S02640,NEW,3,annual,partner_api_order,true,
133,2024-07-26,S03427,NEW,2,annual,partner_api_order,true,
134,2024-07-26,S04108,NEW,8,annual,partner_api_order,true,
135,2024-07-26,S04385,NEW,6,monthly,partner_api_order,true,
136,2024-07-26,S02469,CANCEL,0,,partner_api_order,true,
137,2024-07-26,S02681,ADD,174,,contract_record,true,
138,2024-07-27,S00668,NEW,51,annual,partner_api_order,true,
139,2024-07-27,S00682,NEW,39,annual,partner_api_order,true,
140,2024-07-27,S01353,NEW,21,monthly,partner_api_order,true,
141,2024-07-27,S01814,NEW,5,annual,partner_api_order,true,
142,2024-07-27,S02351,NEW,12,monthly,partner_api_order,true,
143,2024-07-28,S00328,NEW,25,annual,partner_api_order,true,
144,2024-07-28,S00604,NEW,14,annual,partner_api_order,true,
145,2024-07-28,S00793,NEW,10,annual,partner_api_order,true,
146,2024-07-28,S02685,NEW,8,annual,partner_api_order,true,
147,2024-07-28,S03052,NEW,73,annual,contract_record,true,
148,2024-07-28,S04167,NEW,5,annual,partner_api_order,true,
149,2024-07-28,S00182,ADD,6,,partner_api_order,true,
150,2024-07-28,S03594,REDUCE,7,,partner_api_order,true,
151,2024-07-29,S00818,NEW,8,annual,partner_api_order,true,
152,2024-07-29,S01959,NEW,132,annual,contract_record,true,
153,2024-07-29,S03562,NEW,11,monthly,partner_api_order,true,
154,2024-07-29,S02351,ADD,18,,partner_api_order,true,
155,2024-07-29,S03427,ADD,2,,partner_api_order,false,NOOP_QUANTITY
156,2024-07-29,S04361,REDUCE,3,,partner_api_order,true,
157,2024-07-30,S00142,NEW,8,annual,partner_api_order,true,
158,2024-07-30,S02377,NEW,3,monthly,partner_api_order,true,
159,2024-07-30,S02655,NEW,57,annual,partner_api_order,true,
160,2024-07-31,S00130,NEW,14,monthly,partner_api_order,true,
161,2024-07-31,S01638,NEW,19,monthly,partner_api_order,true,
162,2024-07-31,S01707,NEW,38,monthly,partner_api_order,true,
163,2024-07-31,S02896,NEW,32,annual,partner_api_order,true,
164,2024-07-31,S04198,NEW,3,annual,partner_api_order,true,
165,2024-07-31,S02685,REDUCE,5,,partner_api_order,true,
166,2024-08-01,S03006,NEW,16,monthly,partner_api_order,true,
167,2024-08-01,S03727,NEW,10,annual,partner_api_order,true,
168,2024-08-01,S03959,NEW,31,monthly,partner_api_order,true,
169,2024-08-02,S00092,NEW,1,monthly,partner_api_order,true,
170,2024-08-02,S00150,NEW,5,annual,partner_api_order,true,
171,2024-08-02,S00795,NEW,7,monthly,partner_api_order,true,
172,2024-08-02,S01436,NEW,3,monthly,partner_api_order,true,
173,2024-08-02,S03383,NEW,11,annual,partner_api_order,true,
174,2024-08-03,S01233,NEW,17,annual,partner_api_order,true,
175,2024-08-03,S03981,NEW,10,annual,partner_api_order,true,
176,2024-08-03,S00587,CANCEL,0,,partner_api_order,true,
177,2024-08-03,S01882,CANCEL,0,,partner_api_order,true,
178,2024-08-04,S00073,NEW,8,monthly,partner_api_order,true,
179,2024-08-04,S00110,NEW,2,monthly,partner_api_order,true,
180,2024-08-04,S00285,NEW,9,annual,partner_api_order,true,
181,2024-08-04,S01644,NEW,27,monthly,partner_api_order,true,
182,2024-08-04,S02779,NEW,10,annual,partner_api_order,true,
183,2024-08-04,S02825,NEW,12,annual,partner_api_order,true,
184,2024-08-05,S02288,NEW,7,annual,partner_api_order,true,
185,2024-08-05,S02748,NEW,7,annual,partner_api_order,true,
186,2024-08-05,S02759,NEW,2,monthly,partner_api_order,true,
187,2024-08-05,S03354,NEW,17,monthly,partner_api_order,true,
188,2024-08-05,S04018,NEW,7,monthly,partner_api_order,true,
189,2024-08-05,S00113,CANCEL,0,,partner_api_order,true,
190,2024-08-06,S00080,NEW,3,monthly,partner_api_order,true,
191,2024-08-06,S01204,NEW,72,monthly,partner_api_order,true,
192,2024-08-06,S03031,NEW,3,annual,partner_api_order,true,
193,2024-08-06,S03111,NEW,4,annual,partner_api_order,true,
194,2024-08-06,S03479,NEW,8,annual,partner_api_order,true,
195,2024-08-07,S00051,NEW,7,monthly,partner_api_order,true,
196,2024-08-07,S00414,NEW,2,annual,partner_api_order,true,
197,2024-08-07,S01898,NEW,6,annual,partner_api_order,true,
198,2024-08-07,S04051,NEW,10,monthly,partner_api_order,true,
199,2024-08-07,S04100,NEW,4,monthly,partner_api_order,true,
200,2024-08-07,S01677,CANCEL,0,,partner_api_order,true,
201,2024-08-08,S01088,NEW,4,annual,partner_api_order,true,
202,2024-08-08,S01120,NEW,6,monthly,partner_api_order,true,
203,2024-08-08,S01716,NEW,19,annual,partner_api_order,true,
204,2024-08-08,S03716,NEW,10,annual,partner_api_order,true,
205,2024-08-09,S00171,NEW,14,monthly,partner_api_order,true,
206,2024-08-09,S00527,NEW,5,annual,partner_api_order,true,
207,2024-08-09,S00671,NEW,10,annual,partner_api_order,true,
208,2024-08-09,S01277,NEW,7,annual,partner_api_order,true,
209,2024-08-09,S01535,NEW,18,annual,partner_api_order,true,
210,2024-08-09,S01608,NEW,10,annual,partner_api_order,true,
211,2024-08-09,S03661,NEW,9,monthly,partner_api_order,true,
212,2024-08-09,S03946,NEW,13,annual,partner_api_order,true,
213,2024-08-09,S03427,REDUCE,1,,partner_api_order,true,
214,2024-08-10,S00639,NEW,3,annual,partner_api_order,true,
215,2024-08-10,S03103,NEW,4,annual,partner_api_order,true,
216,2024-08-10,S03364,NEW,6,annual,partner_api_order,true,
217,2024-08-10,S03996,NEW,8,monthly,partner_api_order,true,
218,2024-08-11,S02976,ADD,42,,partner_api_order,true,
219,2024-08-12,S00736,NEW,3,annual,partner_api_order,true,
220,2024-08-12,S01225,NEW,3,monthly,partner_api_order,true,
221,2024-08-12,S01653,NEW,7,monthly,partner_api_order,true,
222,2024-08-12,S02541,NEW,36,annual,partner_api_order,true,
223,2024-08-12,S04028,NEW,3,annual,partner_api_order,true,
224,2024-08-12,S00795,REDUCE,3,,partner_api_order,true,
225,2024-08-12,S03087,ADD,12,,partner_api_order,true,
226,2024-08-13,S01694,NEW,2,monthly,partner_api_order,true,
227,2024-08-13,S02064,NEW,36,monthly,partner_api_order,true,
228,2024-08-13,S03202,NEW,3,monthly,partner_api_order,true,
229,2024-08-13,S04024,NEW,16,monthly,partner_api_order,true,
230,2024-08-14,S01438,NEW,6,monthly,partner_api_order,true,
231,2024-08-14,S01687,NEW,7,monthly,partner_api_order,true,
232,2024-08-14,S02994,NEW,2,monthly,partner_api_order,true,
233,2024-08-14,S02541,ADD,50,,partner_api_order,true,
234,2024-08-15,S00282,NEW,16,monthly,partner_api_order,true,
235,2024-08-15,S00532,NEW,7,annual,partner_api_order,true,
236,2024-08-15,S03793,NEW,19,annual,partner_api_order,true,
237,2024-08-15,S03794,NEW,3,monthly,partner_api_order,true,
238,2024-08-15,S00818,REDUCE,4,,partner_api_order,true,
239,2024-08-15,S00892,ADD,7,,partner_api_order,true,
240,2024-08-16,S00490,NEW,1,monthly,partner_api_order,true,
241,2024-08-16,S00868,NEW,549,annual,contract_record,true,
242,2024-08-16,S00935,NEW,2,monthly,partner_api_order,true,
243,2024-08-16,S00988,NEW,9,annual,partner_api_order,true,
244,2024-08-16,S03544,NEW,12,monthly,partner_api_order,true,
245,2024-08-16,S04385,ADD,9,,partner_api_order,true,
246,2024-08-17,S00485,NEW,13,monthly,partner_api_order,true,
247,2024-08-17,S01840,NEW,5,annual,partner_api_order,true,
248,2024-08-17,S03038,NEW,8,annual,partner_api_order,true,
249,2024-08-17,S03895,NEW,8,annual,partner_api_order,true,
250,2024-08-18,S00956,NEW,22,annual,partner_api_order,true,
251,2024-08-18,S01048,NEW,7,monthly,partner_api_order,true,
252,2024-08-18,S01091,NEW,5,annual,partner_api_order,true,
253,2024-08-18,S03186,NEW,14,monthly,partner_api_order,true,
254,2024-08-18,S03908,NEW,4,monthly,partner_api_order,true,
255,2024-08-19,S00418,NEW,4,annual,partner_api_order,true,
256,2024-08-19,S02645,NEW,6,monthly,partner_api_order,true,
257,2024-08-19,S04144,NEW,16,annual,partner_api_order,true,
258,2024-08-20,S00160,NEW,20,annual,partner_api_order,true,
259,2024-08-20,S02943,NEW,4,annual,partner_api_order,true,
260,2024-08-20,S03294,NEW,7,annual,partner_api_order,true,
261,2024-08-21,S01740,NEW,6,annual,partner_api_order,true,
262,2024-08-21,S01884,NEW,11,annual,partner_api_order,true,
263,2024-08-21,S02348,NEW,10,monthly,partner_api_order,true,
264,2024-08-21,S03048,NEW,105,annual,contract_record,true,
265,2024-08-21,S03174,NEW,16,annual,partner_api_order,true,
266,2024-08-21,S03326,NEW,9,monthly,partner_api_order,true,
267,2024-08-21,S03469,NEW,27,annual,partner_api_order,true,
268,2024-08-22,S00827,NEW,6,annual,partner_api_order,true,
269,2024-08-22,S01824,NEW,6,annual,partner_api_order,true,
270,2024-08-22,S02389,NEW,5,annual,partner_api_order,true,
271,2024-08-22,S03328,NEW,7,annual,partner_api_order,true,
272,2024-08-22,S03583,NEW,14,monthly,partner_api_order,true,
273,2024-08-22,S04153,NEW,11,monthly,partner_api_order,true,
274,2024-08-23,S01452,NEW,10,annual,partner_api_order,true,
275,2024-08-23,S01504,NEW,8,annual,partner_api_order,true,
276,2024-08-23,S02255,NEW,5,annual,partner_api_order,true,
277,2024-08-23,S02344,NEW,6,monthly,partner_api_order,true,
278,2024-08-23,S03328,REDUCE,4,,partner_api_order,true,
279,2024-08-24,S02015,NEW,5,annual,partner_api_order,true,
280,2024-08-24,S02276,NEW,76,annual,partner_api_order,true,
281,2024-08-24,S02283,NEW,16,monthly,partner_api_order,true,
282,2024-08-24,S02883,NEW,3,annual,partner_api_order,true,
283,2024-08-24,S03796,NEW,5,annual,partner_api_order,true,
284,2024-08-24,S03860,NEW,10,annual,partner_api_order,true,
285,2024-08-24,S03965,NEW,39,annual,partner_api_order,true,
286,2024-08-25,S00040,NEW,4,annual,partner_api_order,true,
287,2024-08-25,S02863,NEW,3,monthly,partner_api_order,true,
288,2024-08-25,S03002,NEW,13,monthly,partner_api_order,true,
289,2024-08-25,S00532,ADD,9,,partner_api_order,true,
290,2024-08-25,S03860,REDUCE,7,,partner_api_order,true,
291,2024-08-26,S01051,NEW,31,monthly,partner_api_order,true,
292,2024-08-26,S02369,NEW,14,annual,partner_api_order,true,
293,2024-08-26,S02520,NEW,18,annual,partner_api_order,true,
294,2024-08-26,S03083,NEW,12,monthly,partner_api_order,true,
295,2024-08-27,S00209,NEW,32,monthly,partner_api_order,true,
296,2024-08-27,S00541,NEW,183,annual,contract_record,true,
297,2024-08-27,S00949,NEW,38,monthly,partner_api_order,true,
298,2024-08-27,S01033,NEW,10,monthly,partner_api_order,true,
299,2024-08-27,S02552,NEW,2,annual,partner_api_order,true,
300,2024-08-27,S02781,NEW,8,annual,partner_api_order,true,
301,2024-08-27,S02800,NEW,59,annual,partner_api_order,true,
302,2024-08-27,S02937,NEW,3,annual,partner_api_order,true,
303,2024-08-27,S03336,NEW,7,monthly,partner_api_order,true,
304,2024-08-27,S03363,NEW,387,annual,contract_record,true,
305,2024-08-27,S04353,NEW,5,monthly,partner_api_order,true,
306,2024-08-27,S00040,CANCEL,0,,partner_api_order,true,
307,2024-08-28,S01226,NEW,57,annual,partner_api_order,true,
308,2024-08-28,S01968,NEW,3,monthly,partner_api_order,true,
309,2024-08-28,S02245,NEW,6,monthly,partner_api_order,true,
310,2024-08-28,S02631,NEW,37,monthly,partner_api_order,true,
311,2024-08-28,S04332,NEW,2,annual,partner_api_order,true,
312,2024-08-29,S00898,NEW,17,monthly,partner_api_order,true,
313,2024-08-29,S01835,NEW,24,annual,partner_api_order,true,
314,2024-08-29,S01892,NEW,6,annual,partner_api_order,true,
315,2024-08-29,S04278,NEW,17,monthly,partner_api_order,true,
316,2024-08-29,S00604,REDUCE,10,,partner_api_order,true,
317,2024-08-30,S00913,NEW,42,monthly,partner_api_order,true,
318,2024-08-30,S01962,NEW,19,annual,partner_api_order,true,
319,2024-08-30,S02590,NEW,2,monthly,partner_api_order,true,
320,2024-08-30,S02993,NEW,26,monthly,partner_api_order,true,
321,2024-08-30,S03146,NEW,4,monthly,partner_api_order,true,
322,2024-08-30,S04327,NEW,7,monthly,partner_api_order,true,
323,2024-08-30,S01814,REDUCE,2,,partner_api_order,true,
324,2024-08-30,S02344,REDUCE,3,,partner_api_order,true,
325,2024-08-30,S03796,ADD,8,,partner_api_order,true,
326,2024-08-31,S01980,NEW,19,annual,partner_api_order,true,
327,2024-08-31,S04366,NEW,14,annual,partner_api_order,true,
328,2024-08-31,S00913,ADD,54,,partner_api_order,true,
329,2024-09-01,S00799,NEW,5,annual,partner_api_order,true,
330,2024-09-01,S01633,NEW,57,monthly,partner_api_order,true,
331,2024-09-01,S01943,NEW,40,annual,partner_api_order,true,
332,2024-09-01,S02376,NEW,3,annual,partner_api_order,true,
333,2024-09-01,S02387,NEW,8,annual,partner_api_order,true,
334,2024-09-01,S02974,NEW,3,monthly,partner_api_order,true,
335,2024-09-01,S03444,NEW,9,annual,partner_api_order,true,
336,2024-09-01,S00406,REDUCE,5,,partner_api_order,true,
337,2024-09-02,S03075,NEW,5,annual,partner_api_order,true,
338,2024-09-02,S03438,NEW,17,monthly,partner_api_order,true,
339,2024-09-02,S03816,NEW,3,annual,partner_api_order,true,
340,2024-09-02,S04172,NEW,22,annual,partner_api_order,true,
341,2024-09-03,S00412,NEW,18,monthly,partner_api_order,true,
342,2024-09-03,S01448,NEW,19,annual,partner_api_order,true,
343,2024-09-03,S03133,NEW,2,annual,partner_api_order,true,
344,2024-09-03,S03453,NEW,14,monthly,partner_api_order,true,
345,2024-09-03,S04219,NEW,35,monthly,partner_api_order,true,
346,2024-09-03,S04175,ADD,13,,partner_api_order,true,
347,2024-09-04,S00279,NEW,4,monthly,partner_api_order,true,
348,2024-09-04,S00764,NEW,1,annual,partner_api_order,true,
349,2024-09-04,S00912,NEW,11,monthly,partner_api_order,true,
350,2024-09-04,S01941,NEW,3,monthly,partner_api_order,true,
351,2024-09-04,S01970,NEW,365,annual,contract_record,true,
352,2024-09-04,S03100,NEW,1,monthly,partner_api_order,true,
353,2024-09-04,S04099,NEW,5,monthly,partner_api_order,true,
354,2024-09-04,S04173,NEW,13,annual,partner_api_order,true,
355,2024-09-04,S04390,NEW,22,monthly,partner_api_order,true,
356,2024-09-05,S01461,NEW,8,monthly,partner_api_order,true,
357,2024-09-05,S01549,NEW,8,annual,partner_api_order,true,
358,2024-09-05,S01813,NEW,3,annual,partner_api_order,true,
359,2024-09-05,S03036,NEW,11,annual,partner_api_order,true,
360,2024-09-05,S03399,NEW,8,monthly,partner_api_order,true,
361,2024-09-06,S00359,NEW,7,monthly,partner_api_order,true,
362,2024-09-06,S00513,NEW,184,monthly,contract_record,true,
363,2024-09-06,S00765,NEW,2,monthly,partner_api_order,true,
364,2024-09-06,S01016,NEW,4,monthly,partner_api_order,true,
365,2024-09-06,S01030,NEW,14,annual,partner_api_order,true,
366,2024-09-06,S01352,NEW,5,annual,partner_api_order,true,
367,2024-09-06,S01498,NEW,13,monthly,partner_api_order,true,
368,2024-09-06,S03153,NEW,7,monthly,partner_api_order,true,
369,2024-09-06,S03268,NEW,11,annual,partner_api_order,true,
370,2024-09-06,S03884,NEW,8,monthly,partner_api_order,true,
371,2024-09-06,S00668,ADD,75,,partner_api_order,true,
372,2024-09-06,S03489,REDUCE,19,,partner_api_order,true,
373,2024-09-07,S01176,NEW,5,annual,partner_api_order,true,
374,2024-09-07,S01743,NEW,5,monthly,partner_api_order,true,
375,2024-09-07,S02009,NEW,23,monthly,partner_api_order,true,
376,2024-09-07,S02141,NEW,5,monthly,partner_api_order,true,
377,2024-09-07,S02875,NEW,16,monthly,partner_api_order,true,
378,2024-09-07,S03085,NEW,5,monthly,partner_api_order,true,
379,2024-09-07,S04277,NEW,3,annual,partner_api_order,true,
380,2024-09-07,S01980,ADD,25,,partner_api_order,true,
381,2024-09-08,S03866,NEW,9,monthly,partner_api_order,true,
382,2024-09-09,S01674,NEW,13,monthly,partner_api_order,true,
383,2024-09-09,S01967,NEW,12,annual,partner_api_order,true,
384,2024-09-09,S02745,NEW,5,annual,partner_api_order,true,
385,2024-09-09,S03885,REDUCE,49,,partner_api_order,true,
386,2024-09-09,S04099,ADD,6,,partner_api_order,true,
387,2024-09-10,S00322,NEW,17,monthly,partner_api_order,true,
388,2024-09-10,S00831,NEW,2,annual,partner_api_order,true,
389,2024-09-10,S01031,NEW,9,monthly,partner_api_order,true,
390,2024-09-10,S01044,NEW,7,annual,partner_api_order,true,
391,2024-09-10,S01562,NEW,14,annual,partner_api_order,true,
392,2024-09-10,S02035,NEW,6,monthly,partner_api_order,true,
393,2024-09-10,S02771,NEW,3,annual,partner_api_order,true,
394,2024-09-10,S02866,NEW,4,annual,partner_api_order,true,
395,2024-09-10,S03274,NEW,2,annual,partner_api_order,true,
396,2024-09-10,S04283,NEW,24,monthly,partner_api_order,true,
397,2024-09-11,S00304,NEW,15,annual,partner_api_order,true,
398,2024-09-11,S00396,NEW,19,annual,partner_api_order,true,
399,2024-09-11,S00488,NEW,7,monthly,partner_api_order,true,
400,2024-09-11,S00635,NEW,6,annual,partner_api_order,true,
401,2024-09-11,S00688,NEW,12,monthly,partner_api_order,true,
402,2024-09-11,S01356,NEW,6,annual,partner_api_order,true,
403,2024-09-11,S03000,NEW,8,annual,partner_api_order,true,
404,2024-09-11,S04025,NEW,6,annual,partner_api_order,true,
405,2024-09-11,S04038,NEW,21,annual,partner_api_order,true,
406,2024-09-11,S04240,NEW,63,annual,partner_api_order,true,
407,2024-09-12,S00760,NEW,4,annual,partner_api_order,true,
408,2024-09-12,S01024,NEW,5,monthly,partner_api_order,true,
409,2024-09-12,S01203,NEW,78,annual,partner_api_order,true,
410,2024-09-12,S01731,NEW,11,monthly,partner_api_order,true,
411,2024-09-12,S02491,NEW,5,annual,partner_api_order,true,
412,2024-09-12,S03647,NEW,3,annual,partner_api_order,true,
413,2024-09-12,S04008,NEW,8,monthly,partner_api_order,true,
414,2024-09-13,S00025,NEW,8,monthly,partner_api_order,true,
415,2024-09-13,S02163,NEW,7,monthly,partner_api_order,true,
416,2024-09-13,S02393,NEW,1782,monthly,contract_record,true,
417,2024-09-13,S03369,NEW,9,monthly,partner_api_order,true,
418,2024-09-13,S03736,NEW,5,annual,partner_api_order,true,
419,2024-09-13,S04021,NEW,10,annual,partner_api_order,true,
420,2024-09-13,S04355,NEW,25,annual,partner_api_order,true,
421,2024-09-14,S00345,NEW,42,monthly,partner_api_order,true,
422,2024-09-14,S00384,NEW,4,annual,partner_api_order,true,
423,2024-09-14,S00475,NEW,24,annual,partner_api_order,true,
424,2024-09-14,S03869,NEW,16,monthly,partner_api_order,true,
425,2024-09-14,S03904,NEW,4,monthly,partner_api_order,true,
426,2024-09-14,S04324,NEW,36,annual,partner_api_order,true,
427,2024-09-15,S00174,NEW,3,monthly,partner_api_order,true,
428,2024-09-15,S01342,NEW,4,monthly,partner_api_order,true,
429,2024-09-15,S02343,NEW,38,monthly,partner_api_order,true,
430,2024-09-15,S02458,NEW,16,monthly,partner_api_order,true,
431,2024-09-15,S03063,NEW,4,annual,partner_api_order,true,
