subscription_key,customer_key,partner_id,channel,term_type,opened_date,register_quantity,register_status,register_status_date,register_as_of_date
S00056,C00051,P1,partner,annual,2025-02-18,2,active,2025-02-18,2026-06-30
S00057,C00051,P1,partner,monthly,2025-04-24,6,active,2025-04-24,2026-06-30
S00058,C00052,P1,partner,monthly,2025-04-30,5,active,2025-04-30,2026-06-30
S00059,C00053,P2,partner,monthly,2025-02-20,4,active,2025-02-20,2026-06-30
S00060,C00054,P2,partner,annual,2025-06-30,4,active,2025-06-30,2026-06-30
S00061,C00055,P1,partner,monthly,2024-11-10,38,active,2024-11-10,2026-06-30
S00062,C00056,P1,partner,annual,2026-06-18,10,active,2026-06-18,2026-06-30
S00063,C00057,P1,partner,monthly,2026-02-23,6,active,2026-02-23,2026-06-30
S00064,C00058,P2,partner,annual,2026-02-27,27,active,2026-02-27,2026-06-30
S00065,C00059,P1,partner,annual,2024-10-30,36,active,2024-10-30,2026-06-30
S00066,C00059,P1,partner,monthly,2025-10-15,21,active,2025-10-15,2026-06-30
S00067,C00060,DIRECT,direct,annual,2025-06-28,469,active,2025-06-28,2026-06-30
S00068,C00061,P2,partner,annual,2026-06-28,7,active,2026-06-28,2026-06-30
S00069,C00062,P2,partner,monthly,2026-01-24,8,active,2026-01-24,2026-06-30
S00070,C00063,P1,partner,monthly,2025-05-03,5,active,2025-05-03,2026-06-30
S00071,C00063,P1,partner,monthly,2025-07-29,0,cancelled,2026-05-16,2026-06-30
S00072,C00064,P2,partner,monthly,2025-07-22,0,cancelled,2026-06-05,2026-06-30
S00073,C00065,P1,partner,monthly,2024-08-04,0,cancelled,2026-03-11,2026-06-30
S00074,C00066,P1,partner,annual,2025-01-20,20,active,2025-01-20,2026-06-30
S00075,C00067,P1,partner,monthly,2026-04-06,5,active,2026-04-06,2026-06-30
S00076,C00067,P1,partner,monthly,2026-06-29,3,active,2026-06-29,2026-06-30
S00077,C00068,P1,partner,monthly,2025-02-05,28,active,2025-02-05,2026-06-30
S00078,C00069,P2,partner,annual,2025-07-16,10,active,2025-07-16,2026-06-30
S00079,C00070,DIRECT,direct,annual,2025-12-23,171,active,2025-12-23,2026-06-30
S00080,C00071,P2,partner,monthly,2024-08-06,3,active,2024-08-06,2026-06-30
S00081,C00072,P1,partner,annual,2026-06-16,3,active,2026-06-16,2026-06-30
S00082,C00073,P1,partner,annual,2025-10-20,7,active,2025-10-20,2026-06-30
S00083,C00073,P1,partner,annual,2026-05-26,15,active,2026-05-26,2026-06-30
S00084,C00074,P2,partner,monthly,2025-10-25,12,active,2025-10-25,2026-06-30
S00085,C00075,P1,partner,monthly,2026-03-15,12,active,2026-03-15,2026-06-30
S00086,C00076,P1,partner,monthly,2025-07-08,4,active,2025-07-08,2026-06-30
S00087,C00077,P1,partner,annual,2025-11-27,3,active,2025-11-27,2026-06-30
S00088,C00078,P1,partner,annual,2025-05-08,9,active,2025-05-08,2026-06-30
S00089,C00079,P3,partner,annual,2026-01-23,2,active,2026-01-23,2026-06-30
S00090,C00080,P1,partner,annual,2025-08-12,2,active,2025-08-12,2026-06-30
S00091,C00080,P1,partner,annual,2026-01-29,19,active,2026-01-29,2026-06-30
S00092,C00081,P1,partner,monthly,2024-08-02,1,active,2024-08-02,2026-06-30
S00093,C00082,P3,partner,monthly,2025-09-07,16,active,2025-09-07,2026-06-30
S00094,C00082,P3,partner,annual,2025-10-24,14,active,2025-10-24,2026-06-30
S00095,C00083,P1,partner,annual,2025-12-06,17,active,2025-12-06,2026-06-30
S00096,C00084,P1,partner,annual,2026-03-16,20,active,2026-03-16,2026-06-30
S00097,C00085,P2,partner,monthly,2024-10-24,21,active,2024-10-24,2026-06-30
S00098,C00086,P3,partner,monthly,2025-05-01,8,active,2025-05-01,2026-06-30
S00099,C00086,P3,partner,annual,2026-05-01,16,active,2026-05-01,2026-06-30
S00100,C00087,P1,partner,annual,2026-03-24,18,active,2026-03-24,2026-06-30
S00101,C00088,P3,partner,annual,2026-05-19,19,active,2026-05-19,2026-06-30
S00102,C00089,P3,partner,annual,2025-03-26,3,active,2025-03-26,2026-06-30
S00103,C00090,P1,partner,monthly,2026-01-19,34,active,2026-01-19,2026-06-30
S00104,C00090,P1,partner,monthly,2026-06-03,14,active,2026-06-03,2026-06-30
S00105,C00091,P1,partner,annual,2026-05-12,8,active,2026-05-12,2026-06-30
S00106,C00091,P1,partner,annual,2026-06-22,14,active,2026-06-22,2026-06-30
S00107,C00092,P1,partner,monthly,2024-09-18,4,active,2024-09-18,2026-06-30
S00108,C00093,P2,partner,annual,2026-01-03,12,active,2026-01-03,2026-06-30
S00109,C00093,P2,partner,monthly,2026-06-01,31,active,2026-06-01,2026-06-30
S00110,C00094,P1,partner,monthly,2024-08-04,2,active,2024-08-04,2026-06-30
S00111,C00095,P3,partner,annual,2026-03-03,36,active,2026-03-03,2026-06-30
S00112,C00096,P3,partner,annual,2025-11-11,3,active,2025-11-11,2026-06-30
S00113,C00097,P3,partner,monthly,2024-07-24,0,cancelled,2024-08-05,2026-06-30
S00114,C00098,P1,partner,monthly,2026-06-26,16,active,2026-06-26,2026-06-30
S00115,C00099,P1,partner,annual,2025-11-18,5,active,2025-11-18,2026-06-30
S00116,C00100,P3,partner,annual,2024-12-24,5,active,2024-12-24,2026-06-30
S00117,C00101,P1,partner,annual,2025-12-13,10,active,2025-12-13,2026-06-30
S00118,C00102,P3,partner,monthly,2026-03-17,17,active,2026-03-17,2026-06-30
S00119,C00103,P1,partner,monthly,2025-03-09,8,active,2025-03-09,2026-06-30
S00120,C00104,P1,partner,annual,2024-11-04,0,cancelled,2025-09-17,2026-06-30
S00121,C00105,P2,partner,monthly,2024-10-23,0,cancelled,2024-12-10,2026-06-30
S00122,C00106,P1,partner,annual,2024-07-22,40,active,2024-07-22,2026-06-30
S00123,C00107,P1,partner,annual,2026-02-04,13,active,2026-02-04,2026-06-30
S00124,C00108,P2,partner,annual,2025-04-29,0,cancelled,2025-11-08,2026-06-30
S00125,C00109,P2,partner,annual,2026-01-24,9,active,2026-01-24,2026-06-30
S00126,C00110,P1,partner,monthly,2025-01-06,5,active,2025-01-06,2026-06-30
S00127,C00111,P1,partner,annual,2026-02-08,2,active,2026-02-08,2026-06-30
S00128,C00111,P1,partner,annual,2026-04-10,16,active,2026-04-10,2026-06-30
S00129,C00112,P2,partner,monthly,2026-05-22,24,active,2026-05-22,2026-06-30
S00130,C00113,P3,partner,monthly,2024-07-31,21,active,2024-07-31,2026-06-30
S00131,C00114,P1,partner,annual,2024-11-24,3,active,2024-11-24,2026-06-30
S00132,C00115,P1,partner,monthly,2025-04-10,5,active,2025-04-10,2026-06-30
S00133,C00116,P2,partner,annual,2025-11-14,11,active,2025-11-14,2026-06-30
S00134,C00117,P3,partner,annual,2026-05-14,1,active,2026-05-14,2026-06-30
S00135,C00118,P2,partner,annual,2026-05-08,33,active,2026-05-08,2026-06-30
S00136,C00119,P2,partner,annual,2026-03-09,5,active,2026-03-09,2026-06-30
S00137,C00120,P2,partner,monthly,2026-01-06,21,active,2026-01-06,2026-06-30
S00138,C00120,P2,partner,annual,2026-04-17,4,active,2026-04-17,2026-06-30
S00139,C00121,P1,partner,monthly,2026-04-03,7,active,2026-04-03,2026-06-30
S00140,C00122,P1,partner,annual,2025-04-12,0,cancelled,2026-06-16,2026-06-30
S00141,C00123,P1,partner,annual,2024-12-04,6,active,2024-12-04,2026-06-30
S00142,C00124,P1,partner,annual,2024-07-30,8,active,2024-07-30,2026-06-30
S00143,C00124,P1,partner,annual,2025-02-19,7,active,2025-02-19,2026-06-30
S00144,C00125,P1,partner,monthly,2025-06-21,0,cancelled,2025-09-24,2026-06-30
S00145,C00126,P1,partner,monthly,2026-03-24,11,active,2026-03-24,2026-06-30
S00146,C00127,P1,partner,monthly,2025-02-16,7,active,2025-02-16,2026-06-30
S00147,C00128,P2,partner,annual,2025-05-31,12,active,2025-05-31,2026-06-30
S00148,C00129,DIRECT,direct,annual,2025-01-24,157,active,2025-01-24,2026-06-30
S00149,C00130,P1,partner,annual,2025-07-01,6,active,2025-07-01,2026-06-30
S00150,C00131,P1,partner,annual,2024-08-02,0,cancelled,2025-11-22,2026-06-30
S00151,C00132,P3,partner,monthly,2024-12-13,0,cancelled,2026-03-08,2026-06-30
S00152,C00133,P1,partner,annual,2025-07-29,20,active,2025-07-29,2026-06-30
S00153,C00134,P1,partner,annual,2025-05-03,7,active,2025-05-03,2026-06-30
S00154,C00135,P1,partner,monthly,2024-10-30,2,active,2024-10-30,2026-06-30
S00155,C00136,P1,partner,monthly,2026-06-19,7,active,2026-06-19,2026-06-30
S00156,C00137,P3,partner,monthly,2025-02-16,0,cancelled,2025-08-28,2026-06-30
S00157,C00138,P1,partner,annual,2026-05-30,7,active,2026-05-30,2026-06-30
S00158,C00139,P2,partner,annual,2025-12-11,4,active,2025-12-11,2026-06-30
S00159,C00140,P2,partner,annual,2024-11-10,5,active,2024-11-10,2026-06-30
S00160,C00141,P1,partner,annual,2024-08-20,20,active,2024-08-20,2026-06-30
S00161,C00142,P1,partner,annual,2025-06-26,1,active,2025-06-26,2026-06-30
S00162,C00143,P2,partner,annual,2024-10-17,0,cancelled,2026-03-14,2026-06-30
S00163,C00144,P2,partner,monthly,2025-07-20,0,cancelled,2025-11-14,2026-06-30
S00164,C00145,P1,partner,monthly,2026-03-05,10,active,2026-03-05,2026-06-30
S00165,C00146,P2,partner,monthly,2025-06-08,4,active,2025-06-08,2026-06-30
S00166,C00147,P2,partner,monthly,2025-02-24,3,active,2025-02-24,2026-06-30
S00167,C00148,P1,partner,monthly,2026-04-26,2,active,2026-04-26,2026-06-30
S00168,C00149,P1,partner,monthly,2025-04-19,6,active,2025-04-19,2026-06-30
S00169,C00150,P1,partner,annual,2024-10-03,5,active,2024-10-03,2026-06-30
S00170,C00151,P1,partner,annual,2024-09-19,12,active,2024-09-19,2026-06-30
S00171,C00152,P1,partner,monthly,2024-08-09,16,active,2024-08-09,2026-06-30
S00172,C00152,P1,partner,monthly,2026-06-14,10,active,2026-06-14,2026-06-30
S00173,C00153,P2,partner,annual,2024-11-12,3,active,2024-11-12,2026-06-30
S00174,C00154,P3,partner,monthly,2024-09-15,3,active,2024-09-15,2026-06-30
S00175,C00155,P2,partner,monthly,2024-09-16,9,active,2024-09-16,2026-06-30
S00176,C00156,P3,partner,monthly,2025-07-02,3,active,2025-07-02,2026-06-30
S00177,C00157,P2,partner,monthly,2025-04-21,5,active,2025-04-21,2026-06-30
S00178,C00158,P2,partner,annual,2025-05-11,6,active,2025-05-11,2026-06-30
S00179,C00159,P1,partner,annual,2026-04-12,7,active,2026-04-12,2026-06-30
S00180,C00160,P1,partner,monthly,2026-06-11,7,active,2026-06-11,2026-06-30
S00181,C00161,P1,partner,annual,2024-10-14,10,active,2024-10-14,2026-06-30
S00182,C00162,P2,partner,annual,2024-07-21,5,active,2024-07-21,2026-06-30
S00183,C00163,P2,partner,annual,2024-11-29,29,active,2024-11-29,2026-06-30
S00184,C00164,P1,partner,monthly,2024-11-20,3,active,2024-11-20,2026-06-30
S00185,C00165,P1,partner,annual,2025-08-16,5,active,2025-08-16,2026-06-30
S00186,C00165,P1,partner,annual,2026-06-26,8,active,2026-06-26,2026-06-30
S00187,C00166,P1,partner,monthly,2025-04-09,7,active,2025-04-09,2026-06-30
S00188,C00167,P1,partner,monthly,2025-05-18,21,active,2025-05-18,2026-06-30
S00189,C00168,P2,partner,annual,2025-07-31,3,active,2025-07-31,2026-06-30
S00190,C00169,P2,partner,monthly,2025-08-06,12,active,2025-08-06,2026-06-30
S00191,C00170,P1,partner,annual,2025-12-29,38,active,2025-12-29,2026-06-30
S00192,C00171,P2,partner,monthly,2024-07-23,14,active,2024-07-23,2026-06-30
S00193,C00172,DIRECT,direct,annual,2025-11-07,367,active,2025-11-07,2026-06-30
S00194,C00173,P2,partner,annual,2026-06-11,4,active,2026-06-11,2026-06-30
S00195,C00174,P2,partner,monthly,2026-01-17,4,active,2026-01-17,2026-06-30
S00196,C00175,P1,partner,annual,2025-08-10,10,active,2025-08-10,2026-06-30
S00197,C00176,P1,partner,annual,2026-06-09,15,active,2026-06-09,2026-06-30
S00198,C00177,P1,partner,annual,2024-10-04,0,cancelled,2025-07-22,2026-06-30
S00199,C00178,P1,partner,annual,2026-04-25,3,active,2026-04-25,2026-06-30
S00200,C00179,P1,partner,annual,2025-09-13,51,active,2025-09-13,2026-06-30
S00201,C00180,P1,partner,annual,2026-05-20,50,active,2026-05-20,2026-06-30
S00202,C00181,P2,partner,monthly,2024-12-16,16,active,2024-12-16,2026-06-30
S00203,C00182,P1,partner,annual,2026-02-01,3,active,2026-02-01,2026-06-30
S00204,C00183,P1,partner,monthly,2024-07-24,7,active,2024-07-24,2026-06-30
S00205,C00184,P3,partner,monthly,2026-05-26,4,active,2026-05-26,2026-06-30
S00206,C00185,P1,partner,monthly,2025-03-28,3,active,2025-03-28,2026-06-30
S00207,C00186,P2,partner,monthly,2026-06-27,2,active,2026-06-27,2026-06-30
S00208,C00187,P2,partner,monthly,2025-06-07,24,active,2025-06-07,2026-06-30
S00209,C00188,P2,partner,monthly,2024-08-27,16,active,2024-08-27,2026-06-30
S00210,C00188,P2,partner,annual,2026-06-03,29,active,2026-06-03,2026-06-30
S00211,C00189,P1,partner,monthly,2024-11-08,5,active,2024-11-08,2026-06-30
S00212,C00190,P2,partner,annual,2026-01-13,9,active,2026-01-13,2026-06-30
S00213,C00191,DIRECT,direct,annual,2026-04-24,383,active,2026-04-24,2026-06-30
S00214,C00192,DIRECT,direct,annual,2026-01-25,144,active,2026-01-25,2026-06-30
S00215,C00193,P1,partner,monthly,2025-10-21,15,active,2025-10-21,2026-06-30
S00216,C00194,P2,partner,annual,2026-05-05,5,active,2026-05-05,2026-06-30
S00217,C00195,P2,partner,annual,2026-06-05,6,active,2026-06-05,2026-06-30
S00218,C00196,P2,partner,monthly,2025-05-30,1,active,2025-05-30,2026-06-30
S00219,C00197,P2,partner,monthly,2025-04-26,9,active,2025-04-26,2026-06-30
S00220,C00198,P1,partner,annual,2025-09-03,4,active,2025-09-03,2026-06-30
S00221,C00199,P1,partner,monthly,2025-04-26,0,cancelled,2026-03-04,2026-06-30
S00222,C00200,P1,partner,annual,2026-03-06,8,active,2026-03-06,2026-06-30
S00223,C00201,P1,partner,monthly,2025-11-02,17,active,2025-11-02,2026-06-30
S00224,C00202,P1,partner,monthly,2026-05-28,4,active,2026-05-28,2026-06-30
S00225,C00203,P1,partner,annual,2024-09-23,10,active,2024-09-23,2026-06-30
S00226,C00204,P1,partner,monthly,2025-10-20,12,active,2025-10-20,2026-06-30
S00227,C00205,P1,partner,annual,2025-06-25,13,active,2025-06-25,2026-06-30
S00228,C00205,P1,partner,annual,2025-12-17,6,active,2025-12-17,2026-06-30
S00229,C00206,P3,partner,monthly,2025-03-07,72,active,2025-03-07,2026-06-30
S00230,C00207,P1,partner,annual,2026-02-09,6,active,2026-02-09,2026-06-30
S00231,C00208,P1,partner,monthly,2025-03-01,17,active,2025-03-01,2026-06-30
S00232,C00209,DIRECT,direct,monthly,2026-05-09,110,active,2026-05-09,2026-06-30
S00233,C00210,P3,partner,monthly,2025-10-05,16,active,2025-10-05,2026-06-30
S00234,C00211,P1,partner,annual,2025-08-30,8,active,2025-08-30,2026-06-30
S00235,C00212,DIRECT,direct,monthly,2026-03-24,628,active,2026-03-24,2026-06-30
S00236,C00213,P1,partner,annual,2024-11-26,6,active,2024-11-26,2026-06-30
S00237,C00214,P1,partner,annual,2025-01-18,33,active,2025-01-18,2026-06-30
S00238,C00215,P1,partner,annual,2025-08-13,2,active,2025-08-13,2026-06-30
S00239,C00216,P1,partner,monthly,2025-07-10,8,active,2025-07-10,2026-06-30
S00240,C00217,P2,partner,monthly,2025-04-26,16,active,2025-04-26,2026-06-30
S00241,C00217,P2,partner,annual,2026-06-28,14,active,2026-06-28,2026-06-30
S00242,C00218,P2,partner,annual,2025-06-06,15,active,2025-06-06,2026-06-30
S00243,C00219,P1,partner,annual,2026-05-13,8,active,2026-05-13,2026-06-30
S00244,C00220,P2,partner,monthly,2024-12-12,1,active,2024-12-12,2026-06-30
S00245,C00221,P2,partner,annual,2026-06-27,14,active,2026-06-27,2026-06-30
S00246,C00222,DIRECT,direct,annual,2025-08-11,0,cancelled,2025-11-29,2026-06-30
S00247,C00223,P3,partner,monthly,2025-12-23,0,cancelled,2025-12-24,2026-06-30
S00248,C00223,P3,partner,monthly,2026-06-24,9,active,2026-06-24,2026-06-30
S00249,C00224,P3,partner,monthly,2026-05-15,11,active,2026-05-15,2026-06-30
S00250,C00225,P1,partner,annual,2025-06-27,6,active,2025-06-27,2026-06-30
S00251,C00226,P1,partner,annual,2026-04-08,2,active,2026-04-08,2026-06-30
S00252,C00227,P1,partner,annual,2026-02-23,5,active,2026-02-23,2026-06-30
S00253,C00228,P2,partner,annual,2025-07-29,0,cancelled,2026-01-03,2026-06-30
S00254,C00229,P1,partner,monthly,2025-11-15,9,active,2025-11-15,2026-06-30
S00255,C00230,P1,partner,annual,2026-01-06,1,active,2026-01-06,2026-06-30
S00256,C00230,P1,partner,annual,2026-03-09,8,active,2026-03-09,2026-06-30
S00257,C00231,P2,partner,annual,2025-06-09,3,active,2025-06-09,2026-06-30
S00258,C00232,P2,partner,annual,2026-02-27,2,active,2026-02-27,2026-06-30
S00259,C00233,P2,partner,annual,2024-07-13,6,active,2024-07-13,2026-06-30
S00260,C00234,P2,partner,monthly,2025-12-30,13,active,2025-12-30,2026-06-30
S00261,C00235,DIRECT,direct,annual,2024-11-22,0,cancelled,2025-12-17,2026-06-30
S00262,C00235,DIRECT,direct,annual,2026-03-28,62,active,2026-03-28,2026-06-30
S00263,C00236,P2,partner,monthly,2026-01-14,2,active,2026-01-14,2026-06-30
S00264,C00237,P1,partner,monthly,2025-03-31,0,cancelled,2025-08-18,2026-06-30
S00265,C00237,P1,partner,annual,2026-01-03,7,active,2026-01-03,2026-06-30
S00266,C00238,P2,partner,annual,2024-11-07,0,cancelled,2025-05-18,2026-06-30
S00267,C00239,P2,partner,annual,2025-08-07,3,active,2025-08-07,2026-06-30
S00268,C00240,P1,partner,annual,2025-02-27,32,active,2025-02-27,2026-06-30
S00269,C00240,P1,partner,annual,2026-05-20,9,active,2026-05-20,2026-06-30
S00270,C00241,DIRECT,direct,annual,2025-10-01,101,active,2025-10-01,2026-06-30
S00271,C00242,P3,partner,monthly,2026-02-02,14,active,2026-02-02,2026-06-30
S00272,C00243,P1,partner,monthly,2025-01-16,6,active,2025-01-16,2026-06-30
S00273,C00244,P1,partner,annual,2025-08-22,6,active,2025-08-22,2026-06-30
S00274,C00245,P2,partner,monthly,2025-12-25,2,active,2025-12-25,2026-06-30
S00275,C00246,P1,partner,annual,2025-09-18,1,active,2025-09-18,2026-06-30
S00276,C00247,P1,partner,annual,2024-10-30,47,active,2024-10-30,2026-06-30
S00277,C00248,P1,partner,annual,2026-02-16,19,active,2026-02-16,2026-06-30
S00278,C00249,P2,partner,monthly,2025-10-29,12,active,2025-10-29,2026-06-30
S00279,C00250,P1,partner,monthly,2024-09-04,4,active,2024-09-04,2026-06-30
S00280,C00251,P3,partner,monthly,2026-04-17,2,active,2026-04-17,2026-06-30
S00281,C00252,P1,partner,monthly,2026-04-05,2,active,2026-04-05,2026-06-30
S00282,C00253,P1,partner,monthly,2024-08-15,19,active,2024-08-15,2026-06-30
S00283,C00254,P1,partner,annual,2024-12-16,0,cancelled,2025-03-30,2026-06-30
S00284,C00255,P3,partner,annual,2025-07-06,15,active,2025-07-06,2026-06-30
S00285,C00256,P1,partner,annual,2024-08-04,13,active,2024-08-04,2026-06-30
S00286,C00257,P1,partner,annual,2025-02-01,0,cancelled,2025-07-22,2026-06-30
S00287,C00257,P1,partner,monthly,2026-02-20,0,cancelled,2026-06-25,2026-06-30
S00288,C00258,P2,partner,annual,2025-05-05,18,active,2025-05-05,2026-06-30
S00289,C00259,P1,partner,annual,2025-04-29,7,active,2025-04-29,2026-06-30
S00290,C00260,P2,partner,monthly,2025-02-09,4,active,2025-02-09,2026-06-30
S00291,C00261,P2,partner,annual,2026-01-26,5,active,2026-01-26,2026-06-30
S00292,C00262,P2,partner,annual,2026-05-24,28,active,2026-05-24,2026-06-30
S00293,C00263,P3,partner,monthly,2025-04-27,3,active,2025-04-27,2026-06-30
S00294,C00264,P1,partner,annual,2025-11-06,30,active,2025-11-06,2026-06-30
S00295,C00265,P2,partner,monthly,2025-01-07,0,cancelled,2026-06-16,2026-06-30
S00296,C00266,P1,partner,annual,2025-04-19,0,cancelled,2025-05-29,2026-06-30
S00297,C00267,P3,partner,annual,2025-08-14,18,active,2025-08-14,2026-06-30
S00298,C00268,P2,partner,monthly,2025-01-28,0,cancelled,2026-06-07,2026-06-30
S00299,C00268,P2,partner,monthly,2025-07-04,5,active,2025-07-04,2026-06-30
S00300,C00269,P3,partner,annual,2025-11-04,10,active,2025-11-04,2026-06-30
S00301,C00270,P1,partner,annual,2026-05-05,37,active,2026-05-05,2026-06-30
S00302,C00271,P1,partner,monthly,2024-10-25,0,cancelled,2026-05-02,2026-06-30
S00303,C00272,P2,partner,annual,2025-08-02,34,active,2025-08-02,2026-06-30
S00304,C00273,P1,partner,annual,2024-09-11,15,active,2024-09-11,2026-06-30
S00305,C00274,P1,partner,monthly,2025-06-24,0,cancelled,2025-07-14,2026-06-30
S00306,C00275,P2,partner,annual,2025-10-14,1,active,2025-10-14,2026-06-30
S00307,C00276,P1,partner,annual,2025-03-07,15,active,2025-03-07,2026-06-30
S00308,C00277,P2,partner,annual,2026-05-27,6,active,2026-05-27,2026-06-30
S00309,C00278,P2,partner,annual,2025-06-26,0,cancelled,2026-06-20,2026-06-30
S00310,C00279,P1,partner,annual,2024-09-21,7,active,2024-09-21,2026-06-30
S00311,C00280,P1,partner,monthly,2025-11-08,2,active,2025-11-08,2026-06-30
S00312,C00281,P1,partner,monthly,2025-08-25,4,active,2025-08-25,2026-06-30
S00313,C00282,P1,partner,annual,2025-10-05,70,active,2025-10-05,2026-06-30
S00314,C00283,P1,partner,annual,2025-10-11,3,active,2025-10-11,2026-06-30
S00315,C00284,P1,partner,annual,2025-06-10,5,active,2025-06-10,2026-06-30
S00316,C00285,P2,partner,annual,2024-10-19,2,active,2024-10-19,2026-06-30
S00317,C00286,P2,partner,annual,2025-09-07,13,active,2025-09-07,2026-06-30
S00318,C00287,P1,partner,annual,2026-02-21,8,active,2026-02-21,2026-06-30
S00319,C00288,P1,partner,annual,2026-03-13,4,active,2026-03-13,2026-06-30
S00320,C00288,P1,partner,monthly,2026-04-20,5,active,2026-04-20,2026-06-30
S00321,C00289,P1,partner,annual,2025-03-21,0,cancelled,2025-05-03,2026-06-30
S00322,C00290,P2,partner,monthly,2024-09-10,17,active,2024-09-10,2026-06-30
S00323,C00291,P1,partner,annual,2024-10-24,9,active,2024-10-24,2026-06-30
S00324,C00292,P1,partner,annual,2024-10-01,23,active,2024-10-01,2026-06-30
