transaction_id,subscription_key,term_type,transaction_type,received_date,term_seq,landing_date,days_pending,landed_by_as_of,took_effect_as_scheduled
6609,S00781,annual,CANCEL,2026-05-04,2,2026-12-29,239,false,false
3734,S00784,annual,CANCEL,2025-09-21,1,2025-09-30,9,true,true
6277,S00785,annual,CANCEL,2026-04-10,1,2026-07-15,96,false,false
1660,S00789,monthly,REDUCE,2025-02-26,3,2025-03-02,4,true,true
6963,S00789,monthly,CANCEL,2026-05-27,18,2026-06-02,6,true,true
224,S00795,monthly,REDUCE,2024-08-12,1,2024-09-02,21,true,true
4403,S00796,annual,REDUCE,2025-11-19,1,2026-06-26,219,true,true
6546,S00802,monthly,CANCEL,2026-04-29,7,2026-05-19,20,true,true
5239,S00808,annual,REDUCE,2026-01-26,1,2027-01-14,353,false,false
3710,S00813,annual,REDUCE,2025-09-19,1,2026-05-20,243,true,false
5058,S00813,annual,REDUCE,2026-01-13,1,2026-05-20,127,true,true
5341,S00814,annual,CANCEL,2026-02-03,1,2026-10-30,269,false,false
4977,S00815,annual,REDUCE,2026-01-07,2,2026-11-18,315,false,false
7286,S00815,annual,ADD,2026-06-18,2,2026-11-18,153,false,false
6531,S00816,monthly,REDUCE,2026-04-28,10,2026-05-20,22,true,true
238,S00818,annual,REDUCE,2024-08-15,1,2025-07-29,348,true,false
2319,S00818,annual,ADD,2025-05-08,1,2025-07-29,82,true,true
4141,S00819,annual,REDUCE,2025-10-28,1,2026-10-26,363,false,false
5203,S00819,annual,REDUCE,2026-01-24,1,2026-10-26,275,false,false
3775,S00821,monthly,REDUCE,2025-09-24,11,2025-10-09,15,true,true
4427,S00822,monthly,CANCEL,2025-11-21,14,2025-11-28,7,true,true
2189,S00831,annual,REDUCE,2025-04-22,1,2025-09-10,141,true,false
2664,S00831,annual,CANCEL,2025-06-14,1,2025-09-10,88,true,true
5787,S00839,annual,REDUCE,2026-03-06,1,2026-03-20,14,true,true
2450,S00841,annual,REDUCE,2025-05-23,1,2025-10-20,150,true,true
5639,S00844,annual,CANCEL,2026-02-24,1,2027-01-31,341,false,false
4373,S00845,monthly,CANCEL,2025-11-17,8,2025-12-13,26,true,true
5698,S00847,annual,REDUCE,2026-02-28,1,2027-01-12,318,false,false
868,S00848,annual,REDUCE,2024-11-18,1,2025-11-14,361,true,true
3129,S00849,annual,REDUCE,2025-07-28,2,2026-07-01,338,false,false
5699,S00851,monthly,REDUCE,2026-02-28,1,2026-03-27,27,true,true
2231,S00855,monthly,CANCEL,2025-04-27,10,2025-05-06,9,true,true
3264,S00856,annual,REDUCE,2025-08-09,1,2026-02-26,201,true,true
2288,S00857,annual,CANCEL,2025-05-04,1,2026-01-05,246,true,true
6547,S00859,annual,CANCEL,2026-04-29,2,2027-02-28,305,false,false
5282,S00860,annual,CANCEL,2026-01-29,1,2027-01-22,358,false,false
5888,S00869,monthly,CANCEL,2026-03-13,12,2026-03-28,15,true,true
3336,S00870,annual,REDUCE,2025-08-15,1,2025-12-08,115,true,true
6709,S00873,annual,REDUCE,2026-05-10,2,2027-03-20,314,false,false
6884,S00874,annual,CANCEL,2026-05-22,1,2026-11-13,175,false,false
5440,S00879,annual,REDUCE,2026-02-11,1,2026-08-18,188,false,false
4705,S00892,monthly,REDUCE,2025-12-15,17,2025-12-23,8,true,true
6501,S00892,monthly,CANCEL,2026-04-26,22,2026-05-23,27,true,true
6137,S00894,annual,CANCEL,2026-03-31,1,2027-03-30,364,false,false
7354,S00898,monthly,REDUCE,2026-06-22,22,2026-06-28,6,true,true
2481,S00904,monthly,REDUCE,2025-05-26,5,2025-06-16,21,true,true
6721,S00907,annual,REDUCE,2026-05-11,1,2026-08-25,106,false,false
1630,S00912,monthly,CANCEL,2025-02-23,6,2025-03-04,9,true,true
4303,S00914,monthly,REDUCE,2025-11-11,2,2025-11-19,8,true,true
2609,S00915,annual,CANCEL,2025-06-08,1,2025-07-11,33,true,true
5204,S00916,annual,REDUCE,2026-01-24,1,2026-05-26,122,true,true
5319,S00919,annual,REDUCE,2026-02-01,1,2027-01-15,348,false,false
6762,S00919,annual,CANCEL,2026-05-13,1,2027-01-15,247,false,false
4084,S00925,annual,REDUCE,2025-10-23,1,2026-08-24,305,false,false
2140,S00928,monthly,CANCEL,2025-04-18,2,2025-04-25,7,true,true
3784,S00931,annual,CANCEL,2025-09-25,1,2026-08-28,337,false,false
5955,S00933,annual,REDUCE,2026-03-18,1,2026-10-27,223,false,false
1457,S00938,monthly,REDUCE,2025-02-02,2,2025-02-05,3,true,true
5373,S00938,monthly,REDUCE,2026-02-05,15,2026-03-05,28,true,true
3735,S00943,annual,CANCEL,2025-09-21,1,2026-07-19,301,false,false
2130,S00944,monthly,CANCEL,2025-04-17,6,2025-04-25,8,true,true
7217,S00949,monthly,REDUCE,2026-06-13,22,2026-06-27,14,true,true
6770,S00951,monthly,REDUCE,2026-05-14,18,2026-05-28,14,true,true
4374,S00954,annual,REDUCE,2025-11-17,1,2026-01-25,69,true,false
4616,S00954,annual,REDUCE,2025-12-08,1,2026-01-25,48,true,false
4978,S00954,annual,ADD,2026-01-07,1,2026-01-25,18,true,true
7466,S00955,monthly,REDUCE,2026-06-29,5,2026-07-09,10,false,false
7136,S00957,monthly,CANCEL,2026-06-08,10,2026-06-28,20,true,true
4821,S00962,annual,REDUCE,2025-12-24,1,2026-12-22,363,false,false
6389,S00967,monthly,CANCEL,2026-04-18,1,2026-05-12,24,true,true
6164,S00971,annual,REDUCE,2026-04-02,1,2026-07-16,105,false,false
5394,S00972,annual,REDUCE,2026-02-07,2,2027-01-04,331,false,false
2865,S00973,monthly,CANCEL,2025-07-01,8,2025-07-17,16,true,true
3922,S00981,annual,REDUCE,2025-10-07,1,2026-05-28,233,true,false
6231,S00981,annual,CANCEL,2026-04-07,1,2026-05-28,51,true,true
2725,S00987,annual,REDUCE,2025-06-21,1,2026-03-25,277,true,false
4562,S00987,annual,REDUCE,2025-12-02,1,2026-03-25,113,true,true
3467,S00988,annual,CANCEL,2025-08-27,2,2026-08-16,354,false,false
6324,S00990,monthly,REDUCE,2026-04-14,9,2026-04-24,10,true,true
2889,S00994,annual,REDUCE,2025-07-03,1,2026-02-22,234,true,true
4200,S00995,annual,CANCEL,2025-11-02,1,2026-06-07,217,true,true
1509,S01003,annual,REDUCE,2025-02-08,1,2026-01-25,351,true,false
3503,S01003,annual,REDUCE,2025-08-30,1,2026-01-25,148,true,true
3679,S01010,annual,REDUCE,2025-09-15,1,2026-08-02,321,false,false
4822,S01017,annual,CANCEL,2025-12-24,1,2026-08-14,233,false,false
2879,S01021,annual,REDUCE,2025-07-02,1,2026-04-07,279,true,false
5224,S01021,annual,REDUCE,2026-01-25,1,2026-04-07,72,true,true
1139,S01025,annual,CANCEL,2024-12-21,1,2025-12-03,347,true,true
2489,S01027,annual,REDUCE,2025-05-27,1,2026-02-19,268,true,false
5418,S01027,annual,REDUCE,2026-02-09,1,2026-02-19,10,true,true
6591,S01029,monthly,REDUCE,2026-05-03,18,2026-06-02,30,true,true
1942,S01030,annual,REDUCE,2025-03-30,1,2025-09-06,160,true,false
2179,S01030,annual,ADD,2025-04-21,1,2025-09-06,138,true,true
958,S01033,monthly,REDUCE,2024-11-29,4,2024-12-27,28,true,true
3932,S01034,annual,CANCEL,2025-10-08,1,2025-12-10,63,true,true
3367,S01039,annual,REDUCE,2025-08-18,1,2025-12-06,110,true,true
4128,S01048,monthly,CANCEL,2025-10-27,15,2025-11-18,22,true,true
2692,S01049,annual,REDUCE,2025-06-17,1,2026-02-22,250,true,true
6912,S01049,annual,REDUCE,2026-05-24,2,2027-02-22,274,false,false
5332,S01057,monthly,CANCEL,2026-02-02,12,2026-02-16,14,true,true
2030,S01059,monthly,REDUCE,2025-04-07,6,2025-05-05,28,true,true
3569,S01059,monthly,CANCEL,2025-09-05,11,2025-10-05,30,true,true
3956,S01062,monthly,REDUCE,2025-10-11,9,2025-10-19,8,true,true
5291,S01062,monthly,REDUCE,2026-01-30,13,2026-02-19,20,true,true
7437,S01062,monthly,REDUCE,2026-06-27,18,2026-07-19,22,false,false
4837,S01063,monthly,REDUCE,2025-12-25,9,2026-01-05,11,true,true
6370,S01067,annual,REDUCE,2026-04-17,2,2026-11-09,206,false,false
1618,S01068,monthly,REDUCE,2025-02-21,3,2025-03-19,26,true,true
2571,S01069,annual,CANCEL,2025-06-05,1,2025-07-10,35,true,true
5713,S01071,annual,CANCEL,2026-03-01,1,2027-01-16,321,false,false
4487,S01076,annual,REDUCE,2025-11-26,1,2026-11-23,362,false,false
5205,S01083,annual,CANCEL,2026-01-24,1,2026-08-12,200,false,false
2194,S01084,annual,REDUCE,2025-04-23,1,2025-12-28,249,true,true
2248,S01088,annual,REDUCE,2025-04-29,1,2025-08-08,101,true,false
2610,S01088,annual,ADD,2025-06-08,1,2025-08-08,61,true,true
2652,S01089,annual,CANCEL,2025-06-12,1,2026-01-24,226,true,true
7387,S01094,monthly,CANCEL,2026-06-24,4,2026-06-26,2,true,true
3059,S01097,annual,CANCEL,2025-07-20,1,2025-12-23,156,true,true
3145,S01098,annual,CANCEL,2025-07-29,1,2025-12-10,134,true,true
3861,S01104,annual,REDUCE,2025-10-02,1,2025-11-09,38,true,true
6218,S01104,annual,REDUCE,2026-04-06,2,2026-11-09,217,false,false
7186,S01115,annual,CANCEL,2026-06-11,1,2027-04-06,299,false,false
6357,S01117,annual,REDUCE,2026-04-16,1,2026-08-03,109,false,false
837,S01120,monthly,REDUCE,2024-11-12,4,2024-12-08,26,true,true
4597,S01122,monthly,REDUCE,2025-12-06,6,2025-12-09,3,true,true
6722,S01122,monthly,REDUCE,2026-05-11,12,2026-06-09,29,true,true
6517,S01125,annual,CANCEL,2026-04-27,1,2026-12-02,219,false,false
6480,S01126,annual,REDUCE,2026-04-24,2,2027-04-03,344,false,false
4811,S01131,monthly,REDUCE,2025-12-23,11,2026-01-16,24,true,true
