invoice_line_key,month_key,channel,partner_id,customer_key,invoice_amount_cents,constituent_count,constituent_sum_cents,tie_out_difference_cents
2024-12|DIRECT|C03331,2024-12,direct,DIRECT,C03331,122000,1,122000,0
2024-12|DIRECT|C03353,2024-12,direct,DIRECT,C03353,649548,1,649548,0
2024-12|DIRECT|C03575,2024-12,direct,DIRECT,C03575,528000,1,528000,0
2024-12|DIRECT|C03949,2024-12,direct,DIRECT,C03949,65032,1,65032,0
2024-12|DIRECT|C03958,2024-12,direct,DIRECT,C03958,194000,1,194000,0
2024-12|P1|,2024-12,partner,P1,,6637426,540,6637426,0
2024-12|P2|,2024-12,partner,P2,,3582171,292,3582171,0
2024-12|P3|,2024-12,partner,P3,,1483546,136,1483546,0
2025-01|DIRECT|C00050,2025-01,direct,DIRECT,C00050,207000,1,207000,0
2025-01|DIRECT|C00129,2025-01,direct,DIRECT,C00129,26323,1,26323,0
2025-01|DIRECT|C00235,2025-01,direct,DIRECT,C00235,209000,1,209000,0
2025-01|DIRECT|C00304,2025-01,direct,DIRECT,C00304,127258,1,127258,0
2025-01|DIRECT|C00315,2025-01,direct,DIRECT,C00315,256000,1,256000,0
2025-01|DIRECT|C00373,2025-01,direct,DIRECT,C00373,377032,1,377032,0
2025-01|DIRECT|C00464,2025-01,direct,DIRECT,C00464,273600,1,273600,0
2025-01|DIRECT|C00491,2025-01,direct,DIRECT,C00491,183000,1,183000,0
2025-01|DIRECT|C00791,2025-01,direct,DIRECT,C00791,549000,1,549000,0
2025-01|DIRECT|C00874,2025-01,direct,DIRECT,C00874,122000,1,122000,0
2025-01|DIRECT|C01054,2025-01,direct,DIRECT,C01054,638400,1,638400,0
2025-01|DIRECT|C01136,2025-01,direct,DIRECT,C01136,135000,1,135000,0
2025-01|DIRECT|C01613,2025-01,direct,DIRECT,C01613,279600,1,279600,0
2025-01|DIRECT|C01697,2025-01,direct,DIRECT,C01697,235000,1,235000,0
2025-01|DIRECT|C01786,2025-01,direct,DIRECT,C01786,132000,1,132000,0
2025-01|DIRECT|C01791,2025-01,direct,DIRECT,C01791,318000,1,318000,0
2025-01|DIRECT|C01796,2025-01,direct,DIRECT,C01796,365000,1,365000,0
2025-01|DIRECT|C01828,2025-01,direct,DIRECT,C01828,261000,1,261000,0
2025-01|DIRECT|C01899,2025-01,direct,DIRECT,C01899,538000,1,538000,0
2025-01|DIRECT|C02183,2025-01,direct,DIRECT,C02183,1631187,1,1631187,0
2025-01|DIRECT|C02283,2025-01,direct,DIRECT,C02283,337200,1,337200,0
2025-01|DIRECT|C02288,2025-01,direct,DIRECT,C02288,552000,1,552000,0
2025-01|DIRECT|C02341,2025-01,direct,DIRECT,C02341,108000,1,108000,0
2025-01|DIRECT|C02348,2025-01,direct,DIRECT,C02348,109200,1,109200,0
2025-01|DIRECT|C02448,2025-01,direct,DIRECT,C02448,174000,1,174000,0
2025-01|DIRECT|C02506,2025-01,direct,DIRECT,C02506,612000,1,612000,0
2025-01|DIRECT|C02547,2025-01,direct,DIRECT,C02547,128400,1,128400,0
2025-01|DIRECT|C02647,2025-01,direct,DIRECT,C02647,131000,1,131000,0
2025-01|DIRECT|C02746,2025-01,direct,DIRECT,C02746,63000,1,63000,0
2025-01|DIRECT|C02783,2025-01,direct,DIRECT,C02783,316000,2,316000,0
2025-01|DIRECT|C02786,2025-01,direct,DIRECT,C02786,73000,1,73000,0
2025-01|DIRECT|C02861,2025-01,direct,DIRECT,C02861,340000,1,340000,0
2025-01|DIRECT|C03024,2025-01,direct,DIRECT,C03024,744000,1,744000,0
2025-01|DIRECT|C03065,2025-01,direct,DIRECT,C03065,387000,1,387000,0
2025-01|DIRECT|C03155,2025-01,direct,DIRECT,C03155,226800,1,226800,0
2025-01|DIRECT|C03228,2025-01,direct,DIRECT,C03228,244000,1,244000,0
2025-01|DIRECT|C03260,2025-01,direct,DIRECT,C03260,75000,1,75000,0
2025-01|DIRECT|C03316,2025-01,direct,DIRECT,C03316,47000,1,47000,0
2025-01|DIRECT|C03331,2025-01,direct,DIRECT,C03331,122000,1,122000,0
2025-01|DIRECT|C03353,2025-01,direct,DIRECT,C03353,660000,1,660000,0
2025-01|DIRECT|C03423,2025-01,direct,DIRECT,C03423,173613,1,173613,0
2025-01|DIRECT|C03575,2025-01,direct,DIRECT,C03575,528000,1,528000,0
2025-01|DIRECT|C03949,2025-01,direct,DIRECT,C03949,112000,1,112000,0
2025-01|DIRECT|C03958,2025-01,direct,DIRECT,C03958,194000,1,194000,0
2025-01|DIRECT|C03970,2025-01,direct,DIRECT,C03970,11871,1,11871,0
2025-01|P1|,2025-01,partner,P1,,7676910,613,7676910,0
2025-01|P2|,2025-01,partner,P2,,4092248,339,4092248,0
2025-01|P3|,2025-01,partner,P3,,1969041,162,1969041,0
2025-02|DIRECT|C00050,2025-02,direct,DIRECT,C00050,207000,1,207000,0
2025-02|DIRECT|C00129,2025-02,direct,DIRECT,C00129,102000,1,102000,0
2025-02|DIRECT|C00235,2025-02,direct,DIRECT,C00235,212000,1,212000,0
2025-02|DIRECT|C00304,2025-02,direct,DIRECT,C00304,129000,1,129000,0
2025-02|DIRECT|C00315,2025-02,direct,DIRECT,C00315,256000,1,256000,0
2025-02|DIRECT|C00373,2025-02,direct,DIRECT,C00373,626057,1,626057,0
2025-02|DIRECT|C00464,2025-02,direct,DIRECT,C00464,273600,1,273600,0
2025-02|DIRECT|C00491,2025-02,direct,DIRECT,C00491,183000,1,183000,0
2025-02|DIRECT|C00791,2025-02,direct,DIRECT,C00791,549000,1,549000,0
2025-02|DIRECT|C00874,2025-02,direct,DIRECT,C00874,122000,1,122000,0
2025-02|DIRECT|C00891,2025-02,direct,DIRECT,C00891,200571,1,200571,0
2025-02|DIRECT|C01054,2025-02,direct,DIRECT,C01054,638400,1,638400,0
2025-02|DIRECT|C01074,2025-02,direct,DIRECT,C01074,42000,1,42000,0
2025-02|DIRECT|C01136,2025-02,direct,DIRECT,C01136,135000,1,135000,0
2025-02|DIRECT|C01613,2025-02,direct,DIRECT,C01613,279600,1,279600,0
2025-02|DIRECT|C01697,2025-02,direct,DIRECT,C01697,235000,1,235000,0
2025-02|DIRECT|C01786,2025-02,direct,DIRECT,C01786,132000,1,132000,0
2025-02|DIRECT|C01791,2025-02,direct,DIRECT,C01791,318000,1,318000,0
2025-02|DIRECT|C01796,2025-02,direct,DIRECT,C01796,365000,1,365000,0
2025-02|DIRECT|C01828,2025-02,direct,DIRECT,C01828,261000,1,261000,0
2025-02|DIRECT|C01899,2025-02,direct,DIRECT,C01899,538000,1,538000,0
2025-02|DIRECT|C02183,2025-02,direct,DIRECT,C02183,1662000,1,1662000,0
2025-02|DIRECT|C02283,2025-02,direct,DIRECT,C02283,337200,1,337200,0
2025-02|DIRECT|C02288,2025-02,direct,DIRECT,C02288,552000,1,552000,0
2025-02|DIRECT|C02341,2025-02,direct,DIRECT,C02341,108000,1,108000,0
2025-02|DIRECT|C02348,2025-02,direct,DIRECT,C02348,109200,1,109200,0
2025-02|DIRECT|C02448,2025-02,direct,DIRECT,C02448,174000,1,174000,0
2025-02|DIRECT|C02506,2025-02,direct,DIRECT,C02506,612000,1,612000,0
2025-02|DIRECT|C02547,2025-02,direct,DIRECT,C02547,128400,1,128400,0
2025-02|DIRECT|C02647,2025-02,direct,DIRECT,C02647,131000,1,131000,0
2025-02|DIRECT|C02746,2025-02,direct,DIRECT,C02746,63000,1,63000,0
2025-02|DIRECT|C02783,2025-02,direct,DIRECT,C02783,344393,2,344393,0
2025-02|DIRECT|C02786,2025-02,direct,DIRECT,C02786,73000,1,73000,0
2025-02|DIRECT|C02861,2025-02,direct,DIRECT,C02861,340000,1,340000,0
2025-02|DIRECT|C03024,2025-02,direct,DIRECT,C03024,744000,1,744000,0
2025-02|DIRECT|C03065,2025-02,direct,DIRECT,C03065,387000,1,387000,0
2025-02|DIRECT|C03155,2025-02,direct,DIRECT,C03155,226800,1,226800,0
2025-02|DIRECT|C03228,2025-02,direct,DIRECT,C03228,244000,1,244000,0
2025-02|DIRECT|C03260,2025-02,direct,DIRECT,C03260,75000,1,75000,0
2025-02|DIRECT|C03316,2025-02,direct,DIRECT,C03316,47000,1,47000,0
2025-02|DIRECT|C03331,2025-02,direct,DIRECT,C03331,122000,1,122000,0
2025-02|DIRECT|C03353,2025-02,direct,DIRECT,C03353,660000,1,660000,0
2025-02|DIRECT|C03423,2025-02,direct,DIRECT,C03423,207000,1,207000,0
2025-02|DIRECT|C03444,2025-02,direct,DIRECT,C03444,23286,1,23286,0
2025-02|DIRECT|C03575,2025-02,direct,DIRECT,C03575,528000,1,528000,0
2025-02|DIRECT|C03949,2025-02,direct,DIRECT,C03949,112000,1,112000,0
2025-02|DIRECT|C03958,2025-02,direct,DIRECT,C03958,194000,1,194000,0
2025-02|DIRECT|C03970,2025-02,direct,DIRECT,C03970,92000,1,92000,0
2025-02|P1|,2025-02,partner,P1,,8816853,698,8816853,0
2025-02|P2|,2025-02,partner,P2,,4686471,382,4686471,0
2025-02|P3|,2025-02,partner,P3,,2254131,192,2254131,0
2025-03|DIRECT|C00050,2025-03,direct,DIRECT,C00050,207000,1,207000,0
2025-03|DIRECT|C00129,2025-03,direct,DIRECT,C00129,102000,1,102000,0
2025-03|DIRECT|C00235,2025-03,direct,DIRECT,C00235,315516,1,315516,0
2025-03|DIRECT|C00304,2025-03,direct,DIRECT,C00304,129000,1,129000,0
2025-03|DIRECT|C00315,2025-03,direct,DIRECT,C00315,256000,1,256000,0
2025-03|DIRECT|C00360,2025-03,direct,DIRECT,C00360,216774,1,216774,0
2025-03|DIRECT|C00373,2025-03,direct,DIRECT,C00373,681600,1,681600,0
2025-03|DIRECT|C00464,2025-03,direct,DIRECT,C00464,273600,1,273600,0
2025-03|DIRECT|C00491,2025-03,direct,DIRECT,C00491,183000,1,183000,0
2025-03|DIRECT|C00494,2025-03,direct,DIRECT,C00494,73161,1,73161,0
2025-03|DIRECT|C00696,2025-03,direct,DIRECT,C00696,173419,1,173419,0
2025-03|DIRECT|C00791,2025-03,direct,DIRECT,C00791,549000,1,549000,0
2025-03|DIRECT|C00874,2025-03,direct,DIRECT,C00874,122000,1,122000,0
2025-03|DIRECT|C00891,2025-03,direct,DIRECT,C00891,312000,1,312000,0
2025-03|DIRECT|C01054,2025-03,direct,DIRECT,C01054,638400,1,638400,0
2025-03|DIRECT|C01074,2025-03,direct,DIRECT,C01074,588000,1,588000,0
2025-03|DIRECT|C01136,2025-03,direct,DIRECT,C01136,135000,1,135000,0
2025-03|DIRECT|C01335,2025-03,direct,DIRECT,C01335,117419,1,117419,0
2025-03|DIRECT|C01613,2025-03,direct,DIRECT,C01613,279600,1,279600,0
2025-03|DIRECT|C01675,2025-03,direct,DIRECT,C01675,156000,1,156000,0
2025-03|DIRECT|C01697,2025-03,direct,DIRECT,C01697,235000,1,235000,0
2025-03|DIRECT|C01786,2025-03,direct,DIRECT,C01786,132000,1,132000,0
2025-03|DIRECT|C01791,2025-03,direct,DIRECT,C01791,318000,1,318000,0
2025-03|DIRECT|C01796,2025-03,direct,DIRECT,C01796,365000,1,365000,0
2025-03|DIRECT|C01828,2025-03,direct,DIRECT,C01828,261000,1,261000,0
2025-03|DIRECT|C01899,2025-03,direct,DIRECT,C01899,538000,1,538000,0
2025-03|DIRECT|C02022,2025-03,direct,DIRECT,C02022,257303,1,257303,0
2025-03|DIRECT|C02183,2025-03,direct,DIRECT,C02183,1662000,1,1662000,0
2025-03|DIRECT|C02283,2025-03,direct,DIRECT,C02283,337200,1,337200,0
2025-03|DIRECT|C02288,2025-03,direct,DIRECT,C02288,552000,1,552000,0
2025-03|DIRECT|C02341,2025-03,direct,DIRECT,C02341,108000,1,108000,0
2025-03|DIRECT|C02348,2025-03,direct,DIRECT,C02348,109200,1,109200,0
2025-03|DIRECT|C02448,2025-03,direct,DIRECT,C02448,174000,1,174000,0
2025-03|DIRECT|C02506,2025-03,direct,DIRECT,C02506,403897,1,403897,0
2025-03|DIRECT|C02547,2025-03,direct,DIRECT,C02547,128400,1,128400,0
2025-03|DIRECT|C02647,2025-03,direct,DIRECT,C02647,131000,1,131000,0
2025-03|DIRECT|C02746,2025-03,direct,DIRECT,C02746,63000,1,63000,0
2025-03|DIRECT|C02783,2025-03,direct,DIRECT,C02783,387452,2,387452,0
2025-03|DIRECT|C02786,2025-03,direct,DIRECT,C02786,73000,1,73000,0
2025-03|DIRECT|C02861,2025-03,direct,DIRECT,C02861,340000,1,340000,0
2025-03|DIRECT|C03024,2025-03,direct,DIRECT,C03024,744000,1,744000,0
2025-03|DIRECT|C03065,2025-03,direct,DIRECT,C03065,387000,1,387000,0
2025-03|DIRECT|C03155,2025-03,direct,DIRECT,C03155,226800,1,226800,0
2025-03|DIRECT|C03228,2025-03,direct,DIRECT,C03228,244000,1,244000,0
2025-03|DIRECT|C03260,2025-03,direct,DIRECT,C03260,75000,1,75000,0
2025-03|DIRECT|C03316,2025-03,direct,DIRECT,C03316,47000,1,47000,0
2025-03|DIRECT|C03331,2025-03,direct,DIRECT,C03331,122000,1,122000,0
2025-03|DIRECT|C03353,2025-03,direct,DIRECT,C03353,660000,1,660000,0
2025-03|DIRECT|C03418,2025-03,direct,DIRECT,C03418,117290,1,117290,0
2025-03|DIRECT|C03423,2025-03,direct,DIRECT,C03423,207000,1,207000,0
2025-03|DIRECT|C03444,2025-03,direct,DIRECT,C03444,163000,1,163000,0
2025-03|DIRECT|C03501,2025-03,direct,DIRECT,C03501,105000,1,105000,0
2025-03|DIRECT|C03575,2025-03,direct,DIRECT,C03575,528000,1,528000,0
2025-03|DIRECT|C03696,2025-03,direct,DIRECT,C03696,148181,1,148181,0
2025-03|DIRECT|C03949,2025-03,direct,DIRECT,C03949,112000,1,112000,0
2025-03|DIRECT|C03958,2025-03,direct,DIRECT,C03958,194000,1,194000,0
2025-03|DIRECT|C03970,2025-03,direct,DIRECT,C03970,92000,1,92000,0
2025-03|P1|,2025-03,partner,P1,,9878575,788,9878575,0
2025-03|P2|,2025-03,partner,P2,,5261015,427,5261015,0
2025-03|P3|,2025-03,partner,P3,,2677458,221,2677458,0
2025-04|DIRECT|C00050,2025-04,direct,DIRECT,C00050,207000,1,207000,0
2025-04|DIRECT|C00129,2025-04,direct,DIRECT,C00129,136833,1,136833,0
2025-04|DIRECT|C00235,2025-04,direct,DIRECT,C00235,376000,1,376000,0
2025-04|DIRECT|C00304,2025-04,direct,DIRECT,C00304,129000,1,129000,0
2025-04|DIRECT|C00315,2025-04,direct,DIRECT,C00315,256000,1,256000,0
2025-04|DIRECT|C00347,2025-04,direct,DIRECT,C00347,125600,1,125600,0
2025-04|DIRECT|C00360,2025-04,direct,DIRECT,C00360,240000,1,240000,0
2025-04|DIRECT|C00373,2025-04,direct,DIRECT,C00373,681600,1,681600,0
